N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Red de empresa eléctrica (servicio público),NÚMERO DE VIVIENDAS | 2012 | Motor propio,NÚMERO DE VIVIENDAS | 2012 | Panel solar,NÚMERO DE VIVIENDAS | 2012 | Otra,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Servicio público de energía eléctrica,NÚMERO DE VIVIENDAS | 2024 | Motor propio,NÚMERO DE VIVIENDAS | 2024 | Panel solar,NÚMERO DE VIVIENDAS | 2024 | Otra,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Red de empresa eléctrica (servicio público),DISTRIBUCIÓN PORCENTUAL | 2012 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2012 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Otra,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Servicio público de energía eléctrica,DISTRIBUCIÓN PORCENTUAL | 2024 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2024 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Otra,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
1,País,,,,Bolivia,2803982,2225608,25971,31544,24196,496663,3623711,3130729,28409,60548,22891,381134,79.3731201,0.9262185,1.1249716,0.8629157,17.7127742,86.395659,0.7839753,1.6708838,0.6317005,10.5177814
2,País,,,,Urbana,1826480,1735974,3985,539,4906,81076,2386919,2310079,7549,5522,8444,55325,95.0447856,0.2181792,0.0295103,0.2686041,4.4389208,96.7807873,0.3162654,0.2313443,0.3537615,2.3178415
3,País,,,,Rural,977502,489634,21986,31005,19290,415587,1236792,820650,20860,55026,14447,325809,50.0903323,2.2492026,3.1718605,1.9733975,42.5152071,66.3531135,1.6866215,4.4490909,1.1681026,26.3430714
4,Departamento,Chuquisaca,,,Chuquisaca,150081,97479,807,3867,1643,46285,184969,154447,721,4370,691,24740,64.9509265,0.5377096,2.5766086,1.0947422,30.8400131,83.4988566,0.389795,2.3625581,0.3735761,13.3752142
5,Departamento,Chuquisaca,,,Urbana,74401,71734,172,22,185,2288,102961,100992,405,106,184,1274,96.4153708,0.2311797,0.0295695,0.2486526,3.0752275,98.0876254,0.3933528,0.1029516,0.1787084,1.2373617
6,Departamento,Chuquisaca,,,Rural,75680,25745,635,3845,1458,43997,82008,53455,316,4264,507,23466,34.0182347,0.8390592,5.0806025,1.9265328,58.1355708,65.1826651,0.3853283,5.1994927,0.6182324,28.6142815
7,Provincia,Chuquisaca,Oropeza,,Oropeza,77255,66651,182,126,408,9888,100241,93304,430,267,247,5993,86.2740276,0.2355835,0.1630962,0.5281212,12.7991716,93.079678,0.4289662,0.2663581,0.2464062,5.9785916
8,Provincia,Chuquisaca,Oropeza,,Urbana,63108,61180,141,14,140,1633,84913,83445,374,69,137,888,96.9449198,0.2234265,0.0221842,0.2218419,2.5876276,98.2711717,0.4404508,0.0812596,0.1613416,1.0457763
9,Provincia,Chuquisaca,Oropeza,,Rural,14147,5471,41,112,268,8255,15328,9859,56,198,110,5105,38.6725101,0.2898141,0.7916873,1.8943946,58.351594,64.3201983,0.3653445,1.2917537,0.7176409,33.3050626
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,69949,64063,160,40,335,5351,92531,88605,409,164,192,3161,91.5852979,0.2287381,0.0571845,0.4789204,7.6498592,95.7570976,0.442014,0.1772379,0.207498,3.4161524
