N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1,País,,,,Bolivia,16428,5842,1243,1017,217,416,52,4664,2977,35.5612369,7.5663501,6.1906501,1.3209155,2.532262,0.3165327,28.3905527,18.1214999
2,País,,,,Urbana,10390,5081,828,733,184,267,48,1313,1936,48.9027911,7.9692012,7.0548604,1.7709336,2.5697786,0.4619827,12.6371511,18.6333013
3,País,,,,Rural,6038,761,415,284,33,149,4,3351,1041,12.6035111,6.8731368,4.7035442,0.5465386,2.4677045,0.0662471,55.4985094,17.2408082
4,Departamento,Chuquisaca,,,Chuquisaca,817,287,98,39,18,62,5,130,178,35.128519,11.995104,4.7735618,2.2031824,7.5887393,0.6119951,15.9118727,21.7870257
5,Departamento,Chuquisaca,,,Urbana,474,228,54,31,12,28,5,37,79,48.1012658,11.3924051,6.5400844,2.5316456,5.907173,1.0548523,7.8059072,16.6666667
6,Departamento,Chuquisaca,,,Rural,343,59,44,8,6,34,0,93,99,17.2011662,12.8279883,2.3323615,1.7492711,9.9125364,0,27.1137026,28.8629738
7,Provincia,Chuquisaca,Oropeza,,Oropeza,357,155,43,17,8,24,1,26,83,43.4173669,12.0448179,4.7619048,2.2408964,6.7226891,0.280112,7.2829132,23.2492997
8,Provincia,Chuquisaca,Oropeza,,Urbana,292,141,35,16,8,16,1,19,56,48.2876712,11.9863014,5.4794521,2.739726,5.4794521,0.3424658,6.5068493,19.1780822
9,Provincia,Chuquisaca,Oropeza,,Rural,65,14,8,1,0,8,0,7,27,21.5384615,12.3076923,1.5384615,0,12.3076923,0,10.7692308,41.5384615
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,325,151,38,16,8,17,1,23,71,46.4615385,11.6923077,4.9230769,2.4615385,5.2307692,0.3076923,7.0769231,21.8461538
11,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Urbana,292,141,35,16,8,16,1,19,56,48.2876712,11.9863014,5.4794521,2.739726,5.4794521,0.3424658,6.5068493,19.1780822
12,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Rural,33,10,3,0,0,1,0,4,15,30.3030303,9.0909091,0,0,3.030303,0,12.1212121,45.4545455
