Department;Municipality / TIOC;System / Network;Total Sales (MWh);Sales Breakdown (MWh);Total Subscribers;Subscribers Breakdown (Consumers)
La Paz;Ixiamas;Data not found in the AETN 2024 tables;;Residential: <br>General: <br>Industrial: <br>Mining: <br>Public Lighting: <br>Other: ;;Residential: <br>General: <br>Industrial: <br>Mining: <br>Public Lighting: <br>Other: 
Beni;Riberalta;SA - ENDE Riberalta (2024);58 560,07;Residential: 31 096,08<br>General: 17 292,26<br>Industrial: 5 195,21<br>Mining: -<br>Public Lighting: 3 987,20<br>Other: 989,32;24 636;Residential: 21 923<br>General: 2 621<br>Industrial: 68<br>Mining: -<br>Public Lighting: 13<br>Other: 11
Beni;Guayaramerín;SA - ENDE DELBENI S.A.M. Guayaramerín_TH (2024, includes Puerto Ustárez, Cachuela Esperanza, Rosario del Yata and parts of Baures/Bella Vista);30 579,82;Residential: 18 446,32<br>General: 8 584,40<br>Industrial: 2 238,50<br>Mining: 0,00<br>Public Lighting: 1 248,41<br>Other: 62,20;10 856;Residential: 9 238<br>General: 1 366<br>Industrial: 105<br>Mining: -<br>Public Lighting: 137<br>Other: 10
Beni;Reyes;SIN - ENDE DELBENI S.A.M. (2024);4 489,55;Residential: 2 810,71<br>General: 936,10<br>Industrial: 236,92<br>Mining: -<br>Public Lighting: 474,05<br>Other: 31,78;2 326;Residential: 2 112<br>General: 198<br>Industrial: 10<br>Mining: -<br>Public Lighting: 3<br>Other: 3
Beni;Santa Rosa;SIN - ENDE DELBENI S.A.M. (2024);4 142,59;Residential: 2 594,56<br>General: 840,77<br>Industrial: 366,60<br>Mining: -<br>Public Lighting: 224,77<br>Other: 115,89;1 948;Residential: 1 749<br>General: 172<br>Industrial: 17<br>Mining: -<br>Public Lighting: 3<br>Other: 7
Beni;Exaltación;SA - ENDE DELBENI S.A.M. (2022, last complete individual year before integration into the San Ignacio de Moxos system in June 2023);264,12;Residential: 167,40<br>General: 50,88<br>Industrial: 0,28<br>Mining: -<br>Public Lighting: 24,76<br>Other: 20,80;185;Residential: 164<br>General: 16<br>Industrial: 1<br>Mining: -<br>Public Lighting: 2<br>Other: 2
Beni;Exaltación — 2024 estimate;2024 estimate based on the 2018-2022 trend, excluding 2023 because the series is partial from June onward;311,40;Residential: 194,34<br>General: 74,63<br>Industrial: 0,15<br>Mining: -<br>Public Lighting: 20,02<br>Other: 22,26;201;Residential: 175<br>General: 21<br>Industrial: 1<br>Mining: -<br>Public Lighting: 2<br>Other: 2
Beni;Rurrenabaque;SIN - ENDE DELBENI S.A.M. (2024);9 112,76;Residential: 5 796,82<br>General: 2 207,30<br>Industrial: 142,52<br>Mining: -<br>Public Lighting: 908,32<br>Other: 57,80;4 775;Residential: 4 203<br>General: 533<br>Industrial: 27<br>Mining: -<br>Public Lighting: 7<br>Other: 5
Pando;Cobija;SA - ENDE (2024);70 571,36;Residential: 38 271,33<br>General: 24 136,83<br>Industrial: 4 941,61<br>Mining: -<br>Public Lighting: 2 825,41<br>Other: 396,18;21 787;Residential: 19 058<br>General: 2 545<br>Industrial: 27<br>Mining: -<br>Public Lighting: 116<br>Other: 41
Pando;Puerto Gonzalo Moreno;SA - ENDE (2023, last individual data available);1 029,25;Residential: 535,54<br>General: 381,76<br>Industrial: -<br>Mining: -<br>Public Lighting: 111,96<br>Other: -;762;Residential: 676<br>General: 85<br>Industrial: -<br>Mining: -<br>Public Lighting: 1<br>Other: -
Pando;Puerto Gonzalo Moreno — 2024 estimate;"2024 estimate based on the 2020-2023 trend by category; 2019 excluded as a start-up/outlier year; total equals the sum of categories";1 079,51;Residential: 541,83<br>General: 413,09<br>Industrial: -<br>Mining: -<br>Public Lighting: 124,58<br>Other: -;804;Residential: 713<br>General: 91<br>Industrial: -<br>Mining: -<br>Public Lighting: 1<br>Other: -
Pando;El Sena;SA - ENDE (2024);3 690,32;Residential: 2 076,35<br>General: 1 072,90<br>Industrial: 357,81<br>Mining: -<br>Public Lighting: 153,01<br>Other: 30,25;1 984;Residential: 1 777<br>General: 196<br>Industrial: 6<br>Mining: -<br>Public Lighting: 2<br>Other: 3
Pando;Villa Nueva;SA - ENDE (2023, last individual data available);483,81;Residential: 258,75<br>General: 159,25<br>Industrial: 36,24<br>Mining: -<br>Public Lighting: 27,85<br>Other: 1,72;272;Residential: 243<br>General: 25<br>Industrial: 1<br>Mining: -<br>Public Lighting: 2<br>Other: 1
Pando;Villa Nueva — 2024 estimate;"2024 estimate based on the 2020-2023 trend by category; 2019 excluded as a start-up/outlier year; total equals the sum of categories";542,02;Residential: 279,24<br>General: 184,58<br>Industrial: 39,68<br>Mining: -<br>Public Lighting: 37,13<br>Other: 1,40;301;Residential: 267<br>General: 29<br>Industrial: 1<br>Mining: -<br>Public Lighting: 3<br>Other: 1
Beni;Cachuela Esperanza;"SA - ENDE DELBENI S.A.M. (2021, last complete individual year; 2022 is partial until September before unification into Guayaramerín_TH)";189,44;Residential: 143,51<br>General: 30,32<br>Industrial: -<br>Mining: -<br>Public Lighting: -<br>Other: 15,61;151;Residential: 142<br>General: 8<br>Industrial: -<br>Mining: -<br>Public Lighting: -<br>Other: 1
Pando;ENDE Pando total;SA - ENDE Pando consolidated (Cobija, El Sena, G. Moreno, Villa Nueva) (2024);74 261,68;Residential: 40 347,68<br>General: 25 209,73<br>Industrial: 5 299,42<br>Mining: -<br>Public Lighting: 2 978,42<br>Other: 426,43;23 782;Residential: 20 835<br>General: 2 741<br>Industrial: 33<br>Mining: 11<br>Public Lighting: 118<br>Other: 44
Beni;Cachuela Esperanza — 2024 estimate;"2024 estimate for micro-grid later integrated into Guayaramerín_TH; based on 2019-2021 trend only; 2022 excluded because partial before integration; Baures/Bella Vista partial systems not considered";276,35;Residential: 201,58<br>General: 37,17<br>Industrial: 0,00<br>Mining: -<br>Public Lighting: 0,00<br>Other: 37,60;151;Residential: 143<br>General: 7<br>Industrial: -<br>Mining: -<br>Public Lighting: -<br>Other: 1
Beni;Rosario del Yata — 2024 estimate;"2024 estimate for micro-grid later integrated into Guayaramerín_TH; based on 2019-2021 trend only; 2022 excluded because partial before integration; Baures/Bella Vista partial systems not considered";258,84;Residential: 133,96<br>General: 86,19<br>Industrial: 22,79<br>Mining: -<br>Public Lighting: 0,00<br>Other: 15,90;122;Residential: 103<br>General: 16<br>Industrial: 1<br>Mining: -<br>Public Lighting: -<br>Other: 2
Beni;Puerto Ustárez — 2024 estimate;"2024 estimate for micro-grid later integrated into Guayaramerín_TH; based on 2019-2021 trend only; 2022 excluded because partial before integration; Baures/Bella Vista partial systems not considered";130,49;Residential: 89,90<br>General: 17,28<br>Industrial: 0,00<br>Mining: -<br>Public Lighting: 23,31<br>Other: 0,00;57;Residential: 48<br>General: 5<br>Industrial: -<br>Mining: -<br>Public Lighting: 4<br>Other: -
