Department,Province,Municipality/TIOC,Schools,Schools method,Health establishments
La Paz,Abel Iturralde,Ixiamas,48,RUE exact,8
Beni,Vaca Diez,Riberalta,124,RUE exact,27
Beni,Vaca Diez,Guayaramerín,82,RUE exact,16
Beni,General José Ballivián,Reyes,54,RUE exact,5
Beni,General José Ballivián,Santa Rosa,26,RUE exact,8
Beni,Yacuma,Exaltación,19,Estimated - population proxy; lower confidence,4
Pando,Nicolás Suárez,Cobija,45,RUE exact,10
Pando,Nicolás Suárez,Porvenir,26,RUE prorated,3
Pando,Nicolás Suárez,Bolpebra,16,RUE exact,4
Pando,Nicolás Suárez,Bella Flor,15,RUE prorated,7
Pando,Manuripi,Puerto Rico,52,RUE exact,3
Pando,Manuripi,San Pedro,10,RUE prorated,4
Pando,Manuripi,Filadelfia,43,RUE prorated,6
Pando,Madre de Dios,Puerto Gonzalo Moreno,20,RUE exact,8
Pando,Madre de Dios,San Lorenzo,31,RUE exact,5
Pando,Madre de Dios,Sena,47,RUE exact,2
Pando,Abuná,Santa Rosa,17,RUE prorated,3
Pando,Abuná,Ingavi,13,RUE prorated,2
Pando,Federico Román,Nueva Esperanza,10,RUE prorated,3
Pando,Federico Román,Villa Nueva,15,RUE prorated,6
Pando,Federico Román,Santos Mercado,13,RUE prorated,2
