municipality,department,sector,end_use,MWh,muni_ramp
Riberalta,Beni,HOUSEHOLDS,FOOD_PRESERVATION,13583.1370,Riberalta
Riberalta,Beni,HOUSEHOLDS,SPACE_COOLING,8127.2936,Riberalta
Riberalta,Beni,HOUSEHOLDS,HEAT_LOW_T_HW,1252.4191,Riberalta
Riberalta,Beni,HOUSEHOLDS,LIGHTING_R_C,3400.5709,Riberalta
Riberalta,Beni,HOUSEHOLDS,ELECTRICITY,4732.6594,Riberalta
Guayaramerín,Beni,HOUSEHOLDS,FOOD_PRESERVATION,7994.5747,Guayaramerín
Guayaramerín,Beni,HOUSEHOLDS,SPACE_COOLING,5051.7272,Guayaramerín
Guayaramerín,Beni,HOUSEHOLDS,HEAT_LOW_T_HW,646.1115,Guayaramerín
Guayaramerín,Beni,HOUSEHOLDS,LIGHTING_R_C,1840.4866,Guayaramerín
Guayaramerín,Beni,HOUSEHOLDS,ELECTRICITY,2834.7101,Guayaramerín
Reyes,Beni,HOUSEHOLDS,FOOD_PRESERVATION,1260.5105,Reyes
Reyes,Beni,HOUSEHOLDS,SPACE_COOLING,706.2033,Reyes
Reyes,Beni,HOUSEHOLDS,HEAT_LOW_T_HW,61.2599,Reyes
Reyes,Beni,HOUSEHOLDS,LIGHTING_R_C,371.4377,Reyes
Reyes,Beni,HOUSEHOLDS,ELECTRICITY,411.2986,Reyes
Santa Rosa,Beni,HOUSEHOLDS,FOOD_PRESERVATION,1081.3833,Santa_Rosa_Beni
Santa Rosa,Beni,HOUSEHOLDS,SPACE_COOLING,755.6180,Santa_Rosa_Beni
Santa Rosa,Beni,HOUSEHOLDS,HEAT_LOW_T_HW,113.5640,Santa_Rosa_Beni
Santa Rosa,Beni,HOUSEHOLDS,LIGHTING_R_C,316.6481,Santa_Rosa_Beni
Santa Rosa,Beni,HOUSEHOLDS,ELECTRICITY,327.3466,Santa_Rosa_Beni
Exaltación,Beni,HOUSEHOLDS,FOOD_PRESERVATION,33.5260,Exaltación
Exaltación,Beni,HOUSEHOLDS,SPACE_COOLING,78.9939,Exaltación
Exaltación,Beni,HOUSEHOLDS,HEAT_LOW_T_HW,9.8089,Exaltación
Exaltación,Beni,HOUSEHOLDS,LIGHTING_R_C,42.3708,Exaltación
Exaltación,Beni,HOUSEHOLDS,ELECTRICITY,29.6404,Exaltación
El Sena,Pando,HOUSEHOLDS,FOOD_PRESERVATION,622.0973,Sena
El Sena,Pando,HOUSEHOLDS,SPACE_COOLING,741.1787,Sena
El Sena,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,67.6162,Sena
El Sena,Pando,HOUSEHOLDS,LIGHTING_R_C,362.0520,Sena
El Sena,Pando,HOUSEHOLDS,ELECTRICITY,283.4057,Sena
Puerto Gonzalo Moreno,Pando,HOUSEHOLDS,FOOD_PRESERVATION,194.1115,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,HOUSEHOLDS,SPACE_COOLING,165.2178,Puerto_Gonzalo_Moreno
