N°,AÑO,POBLACIÓN AL 01 DE ENERO,TASA ANUAL DE CRECIMIENTO DE POBLACIÓN (%) | Quinquenal,TASA ANUAL DE CRECIMIENTO DE POBLACIÓN (%) | Anual
1,2000,8710181,,
2,2001,8879742,,1.92799311676265
3,2002,9044037,1.7537961598525,1.83331429895357
4,2003,9199044,,1.6993920094699
5,2004,9343159,,1.55448521422389
6,2005,9475861,,1.41031997979771
7,2006,9586372,,1.15948890250333
8,2007,9701623,1.13032478163004,1.19506845231737
9,2008,9794695,,0.954772147520533
10,2009,9914126,,1.21196962417892
11,2010,10076577,,1.6253012820813
12,2011,10245917,,1.6665663123554
13,2012,10423115,1.63112973184325,1.71466512261111
14,2013,10594727,,1.63304885290476
15,2014,10755947,,1.51023863950174
16,2015,10920682,,1.51996116668874
17,2016,11083605,,1.48085668325225
18,2017,11242712,1.32451401187348,1.425310708917
19,2018,11386175,,1.26798036623818
20,2019,11514867,,1.12390828908653
21,2020,11640016,,1.08098338188244
22,2021,11733918,,0.803480536715194
23,2022,11798231,0.586780834210938,0.546598273902119
24,2023,11872175,,0.624782190345438
25,2024,11916453,,0.372262335880989
26,2025,11945263,,0.241474787473595
27,2026,11982400,,0.310410839699853
28,2027,12013942,0.252617098858824,0.262890220233518
29,2028,12041824,,0.231811470777422
30,2029,12066578,,0.205355864724518
31,2030,12088584,,0.182205410902295
32,2031,12108157,,0.161782152969351
33,2032,12125794,0.142475979175866,0.145556150657399
34,2033,12141710,,0.131171316853015
35,2034,12157674,,0.131394296223718
36,2035,12173759,,0.132215824223641
37,2036,12190004,,0.13335380423299
38,2037,12206356,0.133406541062603,0.134052804998223
39,2038,12222693,,0.13375062152824
40,2039,12238895,,0.132468933490949
41,2040,12254797,,0.129845694427924
42,2041,12270211,,0.125700281358366
43,2042,12284905,0.11464073194274,0.119681794652816
44,2043,12298621,,0.11158693364998
45,2044,12311122,,0.101593918109772
46,2045,12322180,,0.0897809050754596
47,2046,12331629,,0.0766534734057997
48,2047,12339299,0.0538467973206331,0.0621784494455314
49,2048,12345035,,0.0464748216682087
50,2049,12348749,,0.0300804447629883
51,2050,12350297,,0.0125348971132372
"Fuente: Ministerio de Educación, Ministerio de Salud y Deportes, Instituto Nacional de Estadística. Estimaciones y proyecciones de población, Revisión 2025",,,,
"RECOMENDACIÓN: Las proyecciones de población son elaboradas con base a información sobre los componentes demográficos (fecundidad, mortalidad y migración) investigadas en los censos y encuestas de demografía y salud. ",,,,
"Cada Revisión de Proyección incorpora  en el momento de su realización información más reciente sobre los componentes demográficos y/o cambios metodológicos de cálculo de proyecciones, debidamente explicitados en respectivas ",,,,
Metodologías. De esta manera se recomienda el uso de la revisión de proyección de población más reciente.,,,,
