N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,�REA, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034
1,País,,,,Bolivia,11916453,11945263,11982400,12013942,12041824,12066578,12088584,12108157,12125794,12141710,12157674
2,Departamento,Chuquisaca,,,Chuquisaca,631769,627840,624631,620921,617060,613061,608928,604659,600327,595908,591573
3,Provincia,Chuquisaca,Oropeza,,Oropeza,332922,332344,331993,331327,330437,329384,328261,326916,325464,323890,322395
4,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,308963,308856,308917,308661,308185,307499,306760,305755,304641,303399,302209
5,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,9662,9536,9417,9299,9171,9059,8920,8799,8677,8561,8443
6,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,14297,13952,13659,13367,13081,12826,12581,12362,12146,11930,11743
7,Provincia,Chuquisaca,Azurduy,,Azurduy,25776,25550,25363,25159,24962,24780,24590,24411,24224,24056,23856
8,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Azurduy,8288,8058,7860,7669,7499,7350,7205,7085,6963,6861,6744
9,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Tarvita,17488,17492,17503,17490,17463,17430,17385,17326,17261,17195,17112
10,Provincia,Chuquisaca,Zudáñez,,Zudáñez,46262,46217,46181,46098,45971,45834,45664,45458,45242,45012,44771
11,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Zudáñez,14226,14305,14378,14428,14466,14481,14501,14487,14476,14458,14429
12,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Presto,13088,12971,12878,12773,12664,12562,12439,12325,12202,12083,11969
13,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Mojocoya,9430,9409,9386,9355,9321,9279,9236,9189,9139,9080,9022
14,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Icla,9518,9532,9539,9542,9520,9512,9488,9457,9425,9391,9351
15,Provincia,Chuquisaca,Tomina,,Tomina,35557,35077,34651,34191,33772,33345,32903,32468,32066,31668,31270
16,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Padilla,9611,9410,9228,9047,8883,8713,8555,8399,8253,8108,7980
17,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Tomina,8879,8775,8688,8576,8483,8382,8276,8166,8068,7970,7865
18,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Sopachuy,7248,7137,7044,6933,6827,6726,6609,6506,6410,6313,6210
19,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Alcalá,3954,3848,3756,3671,3595,3523,3454,3394,3330,3277,3235
20,Municipio/TIOC,Chuquisaca,Tomina,El Villar,El Villar,5865,5907,5935,5964,5984,6001,6009,6003,6005,6000,5980
21,Provincia,Chuquisaca,Hernando Siles,,Hernando Siles,33146,32683,32288,31868,31450,31033,30608,30198,29811,29414,29031
22,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,25613,25319,25071,24797,24522,24238,23947,23652,23374,23085,22807
23,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Huacareta,7533,7364,7217,7071,6928,6795,6661,6546,6437,6329,6224
24,Provincia,Chuquisaca,Yamparáez,,Yamparáez,22841,22273,21760,21294,20844,20437,20043,19681,19348,19023,18714
25,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Tarabuco,13961,13600,13271,12977,12698,12438,12200,11984,11783,11585,11408
26,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Yamparáez,8880,8673,8489,8317,8146,7999,7843,7697,7565,7438,7306
27,Provincia,Chuquisaca,Nor Cinti,,Nor Cinti,75418,74327,73389,72413,71488,70541,69619,68748,67872,67009,66180
28,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Camargo,15370,15123,14916,14691,14470,14233,14002,13777,13563,13350,13138
29,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,San Lucas,27981,27305,26720,26145,25608,25095,24618,24183,23760,23357,22979
30,Municipio/TIOC,Chuquisaca,Nor Cinti,Incahuasi,Incahuasi,17128,17238,17355,17433,17518,17562,17597,17607,17604,17582,17552
31,Municipio/TIOC,Chuquisaca,Nor Cinti,Villa Charcas,Villa Charcas,14939,14661,14398,14144,13892,13651,13402,13181,12945,12720,12511
32,Provincia,Chuquisaca,Belisario Boeto,,Belisario Boeto,9544,9302,9099,8902,8707,8548,8375,8225,8083,7940,7815
33,Municipio/TIOC,Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano,9544,9302,9099,8902,8707,8548,8375,8225,8083,7940,7815
34,Provincia,Chuquisaca,Sud Cinti,,Sud Cinti,26320,26074,25890,25661,25450,25242,25023,24800,24565,24359,24129
35,Municipio/TIOC,Chuquisaca,Sud Cinti,Villa Abecia,Villa Abecia,5560,5655,5751,5827,5904,5951,5997,6035,6042,6064,6060
36,Municipio/TIOC,Chuquisaca,Sud Cinti,Culpina,Culpina,15549,15184,14871,14555,14267,13988,13720,13476,13237,13014,12797
37,Municipio/TIOC,Chuquisaca,Sud Cinti,Las Carreras,Las Carreras,5211,5235,5268,5279,5279,5303,5306,5289,5286,5281,5272
38,Provincia,Chuquisaca,Luis Calvo,,Luis Calvo,23983,23993,24017,24008,23979,23917,23842,23754,23652,23537,23412
39,Municipio/TIOC,Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Villa Vaca Guzmán,13774,13913,14053,14169,14259,14325,14374,14416,14448,14458,14449
40,Municipio/TIOC,Chuquisaca,Luis Calvo,Huacaya (Autonomía Guaraní Chaqueño de Huacaya),Huacaya (Autonomía Guaraní Chaqueño de Huacaya),2656,2630,2598,2575,2549,2523,2491,2468,2436,2406,2379
41,Municipio/TIOC,Chuquisaca,Luis Calvo,Macharetí,Macharetí,7553,7450,7366,7264,7171,7069,6977,6870,6768,6673,6584
42,Departamento,La Paz,,,La Paz,3120478,3122155,3123765,3124445,3124415,3123767,3122533,3120822,3118502,3115689,3112643
43,Provincia,La Paz,Murillo,,Murillo,1785551,1777704,1770662,1764013,1757670,1751655,1745954,1740504,1735120,1729912,1724953
44,Municipio/TIOC,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,781856,776073,771197,767027,763308,760047,757247,754842,752598,750575,748769
45,Municipio/TIOC,La Paz,Murillo,Palca,Palca,22306,22556,22791,23000,23193,23368,23518,23656,23780,23886,23966
46,Municipio/TIOC,La Paz,Murillo,Mecapaca,Mecapaca,20994,21217,21439,21649,21820,21989,22134,22256,22380,22467,22557
47,Municipio/TIOC,La Paz,Murillo,Achocalla,Achocalla,46994,48174,49118,49831,50364,50773,51058,51268,51410,51517,51577
48,Municipio/TIOC,La Paz,Murillo,El Alto,El Alto,913401,909684,906117,902506,898985,895478,891997,888482,884952,881467,878084
49,Provincia,La Paz,Omasuyos,,Omasuyos,97334,97270,97230,97167,97075,96977,96877,96758,96605,96462,96312
50,Municipio/TIOC,La Paz,Omasuyos,Achacachi,Achacachi,48747,48412,48107,47802,47501,47225,46961,46708,46468,46240,46014
51,Municipio/TIOC,La Paz,Omasuyos,Villa Ancoraimes,Villa Ancoraimes,17409,17564,17716,17856,17991,18117,18228,18327,18414,18490,18560
52,Municipio/TIOC,La Paz,Omasuyos,Huarina,Huarina,8940,8923,8898,8877,8848,8826,8802,8785,8756,8730,8712
53,Municipio/TIOC,La Paz,Omasuyos,Santiago de Huata,Santiago de Huata,9569,9540,9527,9506,9486,9462,9447,9416,9388,9361,9340
54,Municipio/TIOC,La Paz,Omasuyos,Huatajata,Huatajata,5263,5317,5370,5424,5474,5511,5553,5587,5602,5639,5657
55,Municipio/TIOC,La Paz,Omasuyos,Chua Cocani,Chua Cocani,7406,7514,7612,7702,7775,7836,7886,7935,7977,8002,8029
56,Provincia,La Paz,Pacajes,,Pacajes,71133,71640,72060,72405,72714,72967,73193,73368,73520,73648,73725
57,Municipio/TIOC,La Paz,Pacajes,Corocoro,Corocoro,13915,14038,14153,14254,14354,14449,14533,14609,14687,14745,14806
58,Municipio/TIOC,La Paz,Pacajes,Caquiaviri,Caquiaviri,16052,15997,15950,15898,15848,15797,15747,15690,15640,15583,15523
59,Municipio/TIOC,La Paz,Pacajes,Calacoto,Calacoto,12552,12655,12754,12843,12924,13001,13069,13144,13205,13259,13307
60,Municipio/TIOC,La Paz,Pacajes,Comanche,Comanche,5369,5444,5500,5553,5598,5643,5683,5720,5747,5773,5786
61,Municipio/TIOC,La Paz,Pacajes,Charaña,Charaña,4338,4383,4427,4462,4506,4535,4566,4593,4608,4635,4652
62,Municipio/TIOC,La Paz,Pacajes,Waldo Ballivián,Waldo Ballivián,6619,6703,6784,6863,6924,6980,7033,7069,7103,7133,7160
63,Municipio/TIOC,La Paz,Pacajes,Nazacara de Pacajes,Nazacara de Pacajes,4004,4155,4251,4306,4349,4370,4391,4396,4406,4415,4408
64,Municipio/TIOC,La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,8284,8265,8241,8226,8211,8192,8171,8147,8124,8105,8083
65,Provincia,La Paz,Camacho,,Camacho,65477,65686,65890,66068,66264,66401,66563,66685,66812,66915,67008
66,Municipio/TIOC,La Paz,Camacho,Puerto Acosta,Puerto Acosta,14393,14501,14587,14679,14768,14846,14922,14988,15053,15117,15168
67,Municipio/TIOC,La Paz,Camacho,Mocomoco,Mocomoco,18332,18336,18359,18360,18369,18370,18370,18371,18368,18357,18352
68,Municipio/TIOC,La Paz,Camacho,Puerto Mayor de Carabuco,Puerto Mayor de Carabuco,17833,17899,17961,18023,18089,18125,18183,18222,18262,18301,18335
69,Municipio/TIOC,La Paz,Camacho,Humanata,Humanata,5832,5806,5779,5751,5720,5690,5670,5646,5626,5601,5576
70,Municipio/TIOC,La Paz,Camacho,Escoma,Escoma,9087,9144,9204,9255,9318,9370,9418,9458,9503,9539,9577
71,Provincia,La Paz,Muñecas,,Muñecas,34458,34796,35094,35355,35564,35755,35885,35996,36085,36144,36182
72,Municipio/TIOC,La Paz,Muñecas,Chuma,Chuma,18242,18558,18836,19070,19272,19436,19570,19674,19764,19820,19874
73,Municipio/TIOC,La Paz,Muñecas,Ayata,Ayata,9305,9275,9248,9210,9179,9157,9114,9090,9053,9025,8987
74,Municipio/TIOC,La Paz,Muñecas,Aucapata,Aucapata,6911,6963,7010,7075,7113,7162,7201,7232,7268,7299,7321
75,Provincia,La Paz,Larecaja,,Larecaja,109821,110724,111565,112296,112931,113504,113961,114378,114704,114987,115236
76,Municipio/TIOC,La Paz,Larecaja,Sorata,Sorata,30890,31202,31508,31783,32031,32270,32473,32667,32824,32972,33103
77,Municipio/TIOC,La Paz,Larecaja,Guanay,Guanay,16875,16888,16897,16905,16916,16920,16923,16931,16925,16925,16923
78,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Tacacoma,10031,10099,10151,10211,10259,10313,10357,10404,10443,10491,10528
79,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Quiabaya,4319,4399,4467,4526,4570,4612,4642,4665,4689,4699,4716
80,Municipio/TIOC,La Paz,Larecaja,Combaya,Combaya,3644,3609,3578,3547,3520,3501,3469,3444,3425,3408,3394
81,Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,8008,7844,7722,7618,7531,7465,7409,7373,7334,7306,7282
82,Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,22339,22763,23126,23430,23685,23878,24042,24173,24267,24337,24395
83,Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,13715,13920,14116,14276,14419,14545,14646,14721,14797,14849,14895
84,Provincia,La Paz,Franz Tamayo,,Franz Tamayo,29095,29010,28935,28872,28812,28744,28681,28622,28564,28493,28448
85,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Apolo,19796,19595,19414,19246,19096,18956,18829,18706,18603,18497,18411
86,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Pelechuco,9299,9415,9521,9626,9716,9788,9852,9916,9961,9996,10037
87,Provincia,La Paz,Ingavi,,Ingavi,180864,182810,184601,186155,187443,188567,189503,190316,190959,191423,191828
88,Municipio/TIOC,La Paz,Ingavi,Viacha,Viacha,116401,118223,119861,121276,122488,123519,124383,125106,125685,126144,126511
89,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Puerto Mayor de Guaqui,8843,8866,8894,8913,8934,8956,8973,8991,9009,9020,9030
90,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Tiahuanacu,14050,14049,14061,14067,14067,14064,14066,14074,14063,14060,14048
91,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Desaguadero,8133,8141,8165,8182,8179,8195,8198,8213,8217,8218,8226
92,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,La (Marka) San Andrés de Machaca,8153,8226,8300,8375,8443,8498,8551,8601,8654,8673,8713
93,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Jesús de Machaka,17519,17537,17537,17549,17545,17542,17538,17532,17528,17510,17495
94,Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,7765,7768,7783,7793,7787,7793,7794,7799,7803,7798,7805
95,Provincia,La Paz,Loayza,,Loayza,59995,60374,60688,60950,61198,61373,61532,61663,61762,61852,61907
96,Municipio/TIOC,La Paz,Loayza,Luribay,Luribay,11057,10945,10845,10756,10671,10589,10524,10454,10385,10341,10283
97,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Sapahaqui,16925,17130,17300,17468,17614,17745,17859,17974,18064,18135,18204
98,Municipio/TIOC,La Paz,Loayza,Yaco,Yaco,12559,12809,13026,13200,13337,13443,13541,13606,13661,13700,13732
99,Municipio/TIOC,La Paz,Loayza,Malla,Malla,5463,5441,5411,5371,5360,5331,5303,5278,5251,5235,5213
100,Municipio/TIOC,La Paz,Loayza,Cairoma,Cairoma,13991,14049,14106,14155,14216,14265,14305,14351,14401,14441,14475
101,Provincia,La Paz,Inquisivi,,Inquisivi,88369,89220,90044,90746,91393,91976,92486,92938,93336,93688,93998
102,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Inquisivi,19187,19346,19507,19641,19778,19908,20029,20130,20224,20310,20389
103,Municipio/TIOC,La Paz,Inquisivi,Quime,Quime,11175,11294,11406,11527,11618,11717,11786,11859,11925,11965,12009
104,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Cajuata,15939,16205,16450,16650,16819,16965,17084,17180,17254,17313,17357
105,Municipio/TIOC,La Paz,Inquisivi,Colquiri,Colquiri,24176,24289,24411,24511,24615,24711,24795,24885,24972,25052,25127
106,Municipio/TIOC,La Paz,Inquisivi,Ichoca,Ichoca,9821,9885,9941,9990,10043,10092,10147,10189,10231,10278,10319
