departamento,provincia,municipio,cluster,trajectoire,annee,secteur,usage_final,demande_GWh
Beni,General José Ballivián,Reyes,C1,acces_2035,2024,SERVICES,ELECTRICITY,0.634374074074074
Beni,General José Ballivián,Reyes,C1,acces_2035,2035,SERVICES,ELECTRICITY,0.8923773988058799
Beni,General José Ballivián,Reyes,C1,acces_2035,2050,SERVICES,ELECTRICITY,0.9259041579246726
Beni,General José Ballivián,Reyes,C1,acces_2050,2024,SERVICES,ELECTRICITY,0.634374074074074
Beni,General José Ballivián,Reyes,C1,acces_2050,2035,SERVICES,ELECTRICITY,0.7949681812768746
Beni,General José Ballivián,Reyes,C1,acces_2050,2050,SERVICES,ELECTRICITY,0.9259041579246726
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2024,SERVICES,ELECTRICITY,0.569771061061061
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2035,SERVICES,ELECTRICITY,1.0169519558566622
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2050,SERVICES,ELECTRICITY,1.2119239879345862
Beni,General José Ballivián,Santa Rosa,C1,acces_2050,2024,SERVICES,ELECTRICITY,0.569771061061061
Beni,General José Ballivián,Santa Rosa,C1,acces_2050,2035,SERVICES,ELECTRICITY,0.8408004654500142
Beni,General José Ballivián,Santa Rosa,C1,acces_2050,2050,SERVICES,ELECTRICITY,1.2119239879345862
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2024,SERVICES,ELECTRICITY,5.792632922922922
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2035,SERVICES,ELECTRICITY,7.530783287603773
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2050,SERVICES,ELECTRICITY,8.240229181315998
Beni,Vaca Diez,Guayaramerín,C3,acces_2050,2024,SERVICES,ELECTRICITY,5.792632922922922
Beni,Vaca Diez,Guayaramerín,C3,acces_2050,2035,SERVICES,ELECTRICITY,7.062053554471975
Beni,Vaca Diez,Guayaramerín,C3,acces_2050,2050,SERVICES,ELECTRICITY,8.240229181315998
Beni,Vaca Diez,Riberalta,C3,acces_2035,2024,SERVICES,ELECTRICITY,11.718578598598597
Beni,Vaca Diez,Riberalta,C3,acces_2035,2035,SERVICES,ELECTRICITY,16.586321923892438
Beni,Vaca Diez,Riberalta,C3,acces_2035,2050,SERVICES,ELECTRICITY,19.518889611061606
