# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -10.819, -65.355 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Caracas, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-10.818915", "lon": "-65.3550455", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 20:00,0,0,0,24.893
2019-01-01 01:00,2018-12-31 21:00,0,0,0,24.723
2019-01-01 02:00,2018-12-31 22:00,0,0,0,24.540
2019-01-01 03:00,2018-12-31 23:00,0,0,0,24.334
2019-01-01 04:00,2019-01-01 00:00,0,0,0,24.161
2019-01-01 05:00,2019-01-01 01:00,0,0,0,23.981
2019-01-01 06:00,2019-01-01 02:00,0,0,0,23.844
2019-01-01 07:00,2019-01-01 03:00,0,0,0,23.742
2019-01-01 08:00,2019-01-01 04:00,0,0,0,23.344
2019-01-01 09:00,2019-01-01 05:00,0,0,0,23.121
2019-01-01 10:00,2019-01-01 06:00,0.006,0,0.025,23.485
2019-01-01 11:00,2019-01-01 07:00,0.084,0.002,0.114,24.230
2019-01-01 12:00,2019-01-01 08:00,0.180,0.013,0.211,25.025
2019-01-01 13:00,2019-01-01 09:00,0.266,0.027,0.298,25.723
2019-01-01 14:00,2019-01-01 10:00,0.314,0.033,0.349,26.139
2019-01-01 15:00,2019-01-01 11:00,0.334,0.034,0.374,26.573
2019-01-01 16:00,2019-01-01 12:00,0.338,0.033,0.380,26.962
2019-01-01 17:00,2019-01-01 13:00,0.322,0.030,0.363,27.163
2019-01-01 18:00,2019-01-01 14:00,0.278,0.024,0.317,27.173
2019-01-01 19:00,2019-01-01 15:00,0.236,0.020,0.271,27.102
2019-01-01 20:00,2019-01-01 16:00,0.159,0.011,0.192,26.909
2019-01-01 21:00,2019-01-01 17:00,0.067,0.001,0.097,26.553
2019-01-01 22:00,2019-01-01 18:00,0,0,0.013,25.893
2019-01-01 23:00,2019-01-01 19:00,0,0,0,25.147
2019-01-02 00:00,2019-01-01 20:00,0,0,0,24.722
2019-01-02 01:00,2019-01-01 21:00,0,0,0,24.496
2019-01-02 02:00,2019-01-01 22:00,0,0,0,24.284
2019-01-02 03:00,2019-01-01 23:00,0,0,0,24.037
2019-01-02 04:00,2019-01-02 00:00,0,0,0,23.772
2019-01-02 05:00,2019-01-02 01:00,0,0,0,23.529
2019-01-02 06:00,2019-01-02 02:00,0,0,0,23.335
2019-01-02 07:00,2019-01-02 03:00,0,0,0,23.190
2019-01-02 08:00,2019-01-02 04:00,0,0,0,23.063
2019-01-02 09:00,2019-01-02 05:00,0,0,0,22.959
2019-01-02 10:00,2019-01-02 06:00,0.011,0,0.031,23.127
2019-01-02 11:00,2019-01-02 07:00,0.102,0.006,0.130,23.837
2019-01-02 12:00,2019-01-02 08:00,0.226,0.051,0.226,24.911
2019-01-02 13:00,2019-01-02 09:00,0.347,0.138,0.284,26.166
2019-01-02 14:00,2019-01-02 10:00,0.453,0.268,0.294,27.751
2019-01-02 15:00,2019-01-02 11:00,0.519,0.374,0.282,28.967
2019-01-02 16:00,2019-01-02 12:00,0.551,0.452,0.252,29.637
2019-01-02 17:00,2019-01-02 13:00,0.538,0.462,0.225,29.960
2019-01-02 18:00,2019-01-02 14:00,0.469,0.379,0.212,29.963
2019-01-02 19:00,2019-01-02 15:00,0.359,0.245,0.201,29.706
2019-01-02 20:00,2019-01-02 16:00,0.221,0.100,0.177,29.220
2019-01-02 21:00,2019-01-02 17:00,0.088,0.011,0.113,28.617
2019-01-02 22:00,2019-01-02 18:00,0.001,0,0.018,27.732
2019-01-02 23:00,2019-01-02 19:00,0,0,0,26.617
2019-01-03 00:00,2019-01-02 20:00,0,0,0,25.779
2019-01-03 01:00,2019-01-02 21:00,0,0,0,25.255
2019-01-03 02:00,2019-01-02 22:00,0,0,0,25.074
2019-01-03 03:00,2019-01-02 23:00,0,0,0,24.942
2019-01-03 04:00,2019-01-03 00:00,0,0,0,24.753
2019-01-03 05:00,2019-01-03 01:00,0,0,0,24.447
2019-01-03 06:00,2019-01-03 02:00,0,0,0,24.151
2019-01-03 07:00,2019-01-03 03:00,0,0,0,23.948
2019-01-03 08:00,2019-01-03 04:00,0,0,0,23.780
2019-01-03 09:00,2019-01-03 05:00,0,0,0,23.648
2019-01-03 10:00,2019-01-03 06:00,0.006,0,0.025,23.769
2019-01-03 11:00,2019-01-03 07:00,0.078,0.002,0.108,24.664
2019-01-03 12:00,2019-01-03 08:00,0.196,0.020,0.224,25.541
2019-01-03 13:00,2019-01-03 09:00,0.319,0.065,0.324,26.384
2019-01-03 14:00,2019-01-03 10:00,0.412,0.122,0.385,27.371
2019-01-03 15:00,2019-01-03 11:00,0.455,0.147,0.419,28.230
2019-01-03 16:00,2019-01-03 12:00,0.459,0.142,0.431,28.801
2019-01-03 17:00,2019-01-03 13:00,0.429,0.116,0.419,29.080
2019-01-03 18:00,2019-01-03 14:00,0.337,0.056,0.360,28.954
2019-01-03 19:00,2019-01-03 15:00,0.232,0.022,0.267,28.561
2019-01-03 20:00,2019-01-03 16:00,0.134,0.007,0.168,28.048
2019-01-03 21:00,2019-01-03 17:00,0.051,0.001,0.080,27.486
2019-01-03 22:00,2019-01-03 18:00,0,0,0.011,26.695
2019-01-03 23:00,2019-01-03 19:00,0,0,0,25.822
2019-01-04 00:00,2019-01-03 20:00,0,0,0,25.457
2019-01-04 01:00,2019-01-03 21:00,0,0,0,25.286
2019-01-04 02:00,2019-01-03 22:00,0,0,0,25.045
2019-01-04 03:00,2019-01-03 23:00,0,0,0,24.798
2019-01-04 04:00,2019-01-04 00:00,0,0,0,24.536
2019-01-04 05:00,2019-01-04 01:00,0,0,0,24.347
2019-01-04 06:00,2019-01-04 02:00,0,0,0,24.146
2019-01-04 07:00,2019-01-04 03:00,0,0,0,23.970
2019-01-04 08:00,2019-01-04 04:00,0,0,0,23.816
2019-01-04 09:00,2019-01-04 05:00,0,0,0,23.725
2019-01-04 10:00,2019-01-04 06:00,0.006,0,0.024,23.925
2019-01-04 11:00,2019-01-04 07:00,0.073,0.001,0.102,24.594
2019-01-04 12:00,2019-01-04 08:00,0.170,0.010,0.204,25.314
2019-01-04 13:00,2019-01-04 09:00,0.284,0.034,0.312,26.114
2019-01-04 14:00,2019-01-04 10:00,0.370,0.063,0.391,26.983
2019-01-04 15:00,2019-01-04 11:00,0.396,0.064,0.424,27.756
2019-01-04 16:00,2019-01-04 12:00,0.349,0.037,0.392,27.867
2019-01-04 17:00,2019-01-04 13:00,0.292,0.021,0.337,27.657
2019-01-04 18:00,2019-01-04 14:00,0.232,0.013,0.275,27.419
2019-01-04 19:00,2019-01-04 15:00,0.175,0.008,0.213,27.159
2019-01-04 20:00,2019-01-04 16:00,0.106,0.003,0.140,26.904
2019-01-04 21:00,2019-01-04 17:00,0.033,0,0.058,26.589
2019-01-04 22:00,2019-01-04 18:00,0,0,0.007,26.175
2019-01-04 23:00,2019-01-04 19:00,0,0,0,25.655
2019-01-05 00:00,2019-01-04 20:00,0,0,0,25.103
2019-01-05 01:00,2019-01-04 21:00,0,0,0,24.700
2019-01-05 02:00,2019-01-04 22:00,0,0,0,24.496
2019-01-05 03:00,2019-01-04 23:00,0,0,0,24.300
2019-01-05 04:00,2019-01-05 00:00,0,0,0,24.130
2019-01-05 05:00,2019-01-05 01:00,0,0,0,23.980
2019-01-05 06:00,2019-01-05 02:00,0,0,0,23.858
2019-01-05 07:00,2019-01-05 03:00,0,0,0,23.769
2019-01-05 08:00,2019-01-05 04:00,0,0,0,23.770
2019-01-05 09:00,2019-01-05 05:00,0,0,0,23.535
2019-01-05 10:00,2019-01-05 06:00,0.010,0,0.030,23.314
2019-01-05 11:00,2019-01-05 07:00,0.101,0.006,0.130,24.344
2019-01-05 12:00,2019-01-05 08:00,0.222,0.043,0.230,25.311
2019-01-05 13:00,2019-01-05 09:00,0.330,0.097,0.304,26.087
2019-01-05 14:00,2019-01-05 10:00,0.408,0.146,0.355,27.235
2019-01-05 15:00,2019-01-05 11:00,0.456,0.187,0.381,28.380
2019-01-05 16:00,2019-01-05 12:00,0.491,0.248,0.369,28.997
2019-01-05 17:00,2019-01-05 13:00,0.497,0.310,0.317,29.378
2019-01-05 18:00,2019-01-05 14:00,0.458,0.320,0.255,29.502
2019-01-05 19:00,2019-01-05 15:00,0.363,0.239,0.211,29.330
2019-01-05 20:00,2019-01-05 16:00,0.230,0.116,0.171,28.923
2019-01-05 21:00,2019-01-05 17:00,0.090,0.013,0.112,28.290
2019-01-05 22:00,2019-01-05 18:00,0.003,0,0.020,27.410
2019-01-05 23:00,2019-01-05 19:00,0,0,0,26.314
2019-01-06 00:00,2019-01-05 20:00,0,0,0,25.292
2019-01-06 01:00,2019-01-05 21:00,0,0,0,24.759
2019-01-06 02:00,2019-01-05 22:00,0,0,0,24.587
2019-01-06 03:00,2019-01-05 23:00,0,0,0,24.409
2019-01-06 04:00,2019-01-06 00:00,0,0,0,24.154
2019-01-06 05:00,2019-01-06 01:00,0,0,0,23.882
2019-01-06 06:00,2019-01-06 02:00,0,0,0,23.622
2019-01-06 07:00,2019-01-06 03:00,0,0,0,23.399
2019-01-06 08:00,2019-01-06 04:00,0,0,0,23.224
2019-01-06 09:00,2019-01-06 05:00,0,0,0,23.016
2019-01-06 10:00,2019-01-06 06:00,0.020,0,0.042,23.296
2019-01-06 11:00,2019-01-06 07:00,0.120,0.031,0.126,24.998
2019-01-06 12:00,2019-01-06 08:00,0.269,0.156,0.174,26.894
2019-01-06 13:00,2019-01-06 09:00,0.386,0.242,0.235,28.206
2019-01-06 14:00,2019-01-06 10:00,0.467,0.294,0.291,29.068
2019-01-06 15:00,2019-01-06 11:00,0.486,0.258,0.355,29.588
2019-01-06 16:00,2019-01-06 12:00,0.492,0.247,0.375,29.926
2019-01-06 17:00,2019-01-06 13:00,0.470,0.221,0.371,30.093
2019-01-06 18:00,2019-01-06 14:00,0.372,0.108,0.355,29.901
2019-01-06 19:00,2019-01-06 15:00,0.257,0.040,0.280,29.438
2019-01-06 20:00,2019-01-06 16:00,0.145,0.011,0.177,28.882
2019-01-06 21:00,2019-01-06 17:00,0.047,0.001,0.075,28.138
2019-01-06 22:00,2019-01-06 18:00,0,0,0.011,27.187
2019-01-06 23:00,2019-01-06 19:00,0,0,0,26.439
2019-01-07 00:00,2019-01-06 20:00,0,0,0,26.177
2019-01-07 01:00,2019-01-06 21:00,0,0,0,25.871
2019-01-07 02:00,2019-01-06 22:00,0,0,0,25.641
2019-01-07 03:00,2019-01-06 23:00,0,0,0,25.394
2019-01-07 04:00,2019-01-07 00:00,0,0,0,25.130
2019-01-07 05:00,2019-01-07 01:00,0,0,0,24.867
2019-01-07 06:00,2019-01-07 02:00,0,0,0,24.631
2019-01-07 07:00,2019-01-07 03:00,0,0,0,24.458
2019-01-07 08:00,2019-01-07 04:00,0,0,0,24.328
2019-01-07 09:00,2019-01-07 05:00,0,0,0,24.229
2019-01-07 10:00,2019-01-07 06:00,0.006,0,0.025,24.287
2019-01-07 11:00,2019-01-07 07:00,0.076,0.002,0.106,24.898
2019-01-07 12:00,2019-01-07 08:00,0.172,0.012,0.205,25.613
2019-01-07 13:00,2019-01-07 09:00,0.279,0.034,0.306,26.113
2019-01-07 14:00,2019-01-07 10:00,0.368,0.065,0.386,26.691
2019-01-07 15:00,2019-01-07 11:00,0.401,0.072,0.420,27.235
2019-01-07 16:00,2019-01-07 12:00,0.392,0.062,0.420,27.601
2019-01-07 17:00,2019-01-07 13:00,0.363,0.050,0.396,27.764
2019-01-07 18:00,2019-01-07 14:00,0.308,0.035,0.343,27.679
2019-01-07 19:00,2019-01-07 15:00,0.233,0.020,0.268,27.380
2019-01-07 20:00,2019-01-07 16:00,0.138,0.007,0.172,26.887
2019-01-07 21:00,2019-01-07 17:00,0.048,0.001,0.076,26.237
2019-01-07 22:00,2019-01-07 18:00,0,0,0.010,25.510
2019-01-07 23:00,2019-01-07 19:00,0,0,0,24.958
2019-01-08 00:00,2019-01-07 20:00,0,0,0,24.683
2019-01-08 01:00,2019-01-07 21:00,0,0,0,24.486
2019-01-08 02:00,2019-01-07 22:00,0,0,0,24.286
2019-01-08 03:00,2019-01-07 23:00,0,0,0,24.072
2019-01-08 04:00,2019-01-08 00:00,0,0,0,23.863
2019-01-08 05:00,2019-01-08 01:00,0,0,0,23.673
2019-01-08 06:00,2019-01-08 02:00,0,0,0,23.478
2019-01-08 07:00,2019-01-08 03:00,0,0,0,23.322
2019-01-08 08:00,2019-01-08 04:00,0,0,0,23.166
2019-01-08 09:00,2019-01-08 05:00,0,0,0,23.005
2019-01-08 10:00,2019-01-08 06:00,0.007,0,0.026,22.976
2019-01-08 11:00,2019-01-08 07:00,0.093,0.003,0.123,23.441
2019-01-08 12:00,2019-01-08 08:00,0.222,0.027,0.244,24.163
2019-01-08 13:00,2019-01-08 09:00,0.316,0.053,0.329,24.758
2019-01-08 14:00,2019-01-08 10:00,0.368,0.060,0.387,25.433
2019-01-08 15:00,2019-01-08 11:00,0.360,0.043,0.395,25.983
2019-01-08 16:00,2019-01-08 12:00,0.338,0.032,0.380,26.321
2019-01-08 17:00,2019-01-08 13:00,0.310,0.026,0.353,26.501
2019-01-08 18:00,2019-01-08 14:00,0.248,0.015,0.289,26.486
2019-01-08 19:00,2019-01-08 15:00,0.165,0.007,0.203,26.253
2019-01-08 20:00,2019-01-08 16:00,0.086,0.002,0.118,25.942
2019-01-08 21:00,2019-01-08 17:00,0.026,0,0.050,25.623
2019-01-08 22:00,2019-01-08 18:00,0,0,0.007,25.245
2019-01-08 23:00,2019-01-08 19:00,0,0,0,24.973
