# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -13.768, -68.126 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Caracas, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-13.7676196", "lon": "-68.1258503", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 20:00,0,0,0,24.188
2019-01-01 01:00,2018-12-31 21:00,0,0,0,23.945
2019-01-01 02:00,2018-12-31 22:00,0,0,0,23.709
2019-01-01 03:00,2018-12-31 23:00,0,0,0,23.509
2019-01-01 04:00,2019-01-01 00:00,0,0,0,23.378
2019-01-01 05:00,2019-01-01 01:00,0,0,0,23.222
2019-01-01 06:00,2019-01-01 02:00,0,0,0,22.989
2019-01-01 07:00,2019-01-01 03:00,0,0,0,22.730
2019-01-01 08:00,2019-01-01 04:00,0,0,0,22.460
2019-01-01 09:00,2019-01-01 05:00,0,0,0,22.196
2019-01-01 10:00,2019-01-01 06:00,0.010,0,0.030,22.167
2019-01-01 11:00,2019-01-01 07:00,0.106,0.011,0.129,22.893
2019-01-01 12:00,2019-01-01 08:00,0.248,0.109,0.193,23.910
2019-01-01 13:00,2019-01-01 09:00,0.387,0.252,0.218,25.293
2019-01-01 14:00,2019-01-01 10:00,0.490,0.368,0.240,26.446
2019-01-01 15:00,2019-01-01 11:00,0.547,0.425,0.264,27.183
2019-01-01 16:00,2019-01-01 12:00,0.562,0.425,0.287,27.662
2019-01-01 17:00,2019-01-01 13:00,0.512,0.314,0.328,27.792
2019-01-01 18:00,2019-01-01 14:00,0.443,0.226,0.323,27.698
2019-01-01 19:00,2019-01-01 15:00,0.370,0.186,0.268,27.481
2019-01-01 20:00,2019-01-01 16:00,0.268,0.133,0.196,27.168
2019-01-01 21:00,2019-01-01 17:00,0.123,0.024,0.137,26.533
2019-01-01 22:00,2019-01-01 18:00,0.019,0,0.042,25.588
2019-01-01 23:00,2019-01-01 19:00,0,0,0,24.642
2019-01-02 00:00,2019-01-01 20:00,0,0,0,24.108
2019-01-02 01:00,2019-01-01 21:00,0,0,0,23.622
2019-01-02 02:00,2019-01-01 22:00,0,0,0,23.275
2019-01-02 03:00,2019-01-01 23:00,0,0,0,23.037
2019-01-02 04:00,2019-01-02 00:00,0,0,0,22.820
2019-01-02 05:00,2019-01-02 01:00,0,0,0,22.569
2019-01-02 06:00,2019-01-02 02:00,0,0,0,22.327
2019-01-02 07:00,2019-01-02 03:00,0,0,0,22.144
2019-01-02 08:00,2019-01-02 04:00,0,0,0,22.157
2019-01-02 09:00,2019-01-02 05:00,0,0,0,22.092
2019-01-02 10:00,2019-01-02 06:00,0.005,0,0.023,22.130
2019-01-02 11:00,2019-01-02 07:00,0.089,0.003,0.118,23.132
2019-01-02 12:00,2019-01-02 08:00,0.205,0.031,0.221,24.312
2019-01-02 13:00,2019-01-02 09:00,0.334,0.097,0.308,25.401
2019-01-02 14:00,2019-01-02 10:00,0.415,0.147,0.362,26.302
2019-01-02 15:00,2019-01-02 11:00,0.487,0.217,0.389,27.016
2019-01-02 16:00,2019-01-02 12:00,0.499,0.220,0.403,27.406
2019-01-02 17:00,2019-01-02 13:00,0.483,0.208,0.394,27.534
2019-01-02 18:00,2019-01-02 14:00,0.436,0.176,0.363,27.482
2019-01-02 19:00,2019-01-02 15:00,0.346,0.112,0.312,27.212
2019-01-02 20:00,2019-01-02 16:00,0.244,0.062,0.239,26.808
2019-01-02 21:00,2019-01-02 17:00,0.118,0.013,0.143,26.180
2019-01-02 22:00,2019-01-02 18:00,0.018,0,0.040,25.301
2019-01-02 23:00,2019-01-02 19:00,0,0,0,24.361
2019-01-03 00:00,2019-01-02 20:00,0,0,0,23.956
2019-01-03 01:00,2019-01-02 21:00,0,0,0,23.856
2019-01-03 02:00,2019-01-02 22:00,0,0,0,23.698
2019-01-03 03:00,2019-01-02 23:00,0,0,0,23.431
2019-01-03 04:00,2019-01-03 00:00,0,0,0,23.175
2019-01-03 05:00,2019-01-03 01:00,0,0,0,22.946
2019-01-03 06:00,2019-01-03 02:00,0,0,0,22.792
2019-01-03 07:00,2019-01-03 03:00,0,0,0,22.830
2019-01-03 08:00,2019-01-03 04:00,0,0,0,22.798
2019-01-03 09:00,2019-01-03 05:00,0,0,0,22.713
