# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -14.295, -67.336 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Caracas, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-14.2952193", "lon": "-67.335855", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 20:00,0,0,0,25.583
2019-01-01 01:00,2018-12-31 21:00,0,0,0,25.178
2019-01-01 02:00,2018-12-31 22:00,0,0,0,24.887
2019-01-01 03:00,2018-12-31 23:00,0,0,0,24.650
2019-01-01 04:00,2019-01-01 00:00,0,0,0,24.485
2019-01-01 05:00,2019-01-01 01:00,0,0,0,24.372
2019-01-01 06:00,2019-01-01 02:00,0,0,0,24.208
2019-01-01 07:00,2019-01-01 03:00,0,0,0,24.009
2019-01-01 08:00,2019-01-01 04:00,0,0,0,23.796
2019-01-01 09:00,2019-01-01 05:00,0,0,0,23.607
2019-01-01 10:00,2019-01-01 06:00,0.011,0,0.032,23.633
2019-01-01 11:00,2019-01-01 07:00,0.107,0.010,0.132,24.324
2019-01-01 12:00,2019-01-01 08:00,0.239,0.077,0.216,25.345
2019-01-01 13:00,2019-01-01 09:00,0.354,0.160,0.272,26.534
2019-01-01 14:00,2019-01-01 10:00,0.449,0.252,0.304,27.558
2019-01-01 15:00,2019-01-01 11:00,0.518,0.345,0.307,28.318
2019-01-01 16:00,2019-01-01 12:00,0.551,0.411,0.290,28.847
2019-01-01 17:00,2019-01-01 13:00,0.550,0.446,0.254,29.174
2019-01-01 18:00,2019-01-01 14:00,0.499,0.406,0.222,29.254
2019-01-01 19:00,2019-01-01 15:00,0.403,0.308,0.192,29.096
2019-01-01 20:00,2019-01-01 16:00,0.264,0.157,0.170,28.677
2019-01-01 21:00,2019-01-01 17:00,0.117,0.026,0.129,27.983
2019-01-01 22:00,2019-01-01 18:00,0.015,0,0.037,26.964
2019-01-01 23:00,2019-01-01 19:00,0,0,0,25.987
2019-01-02 00:00,2019-01-01 20:00,0,0,0,25.399
2019-01-02 01:00,2019-01-01 21:00,0,0,0,24.979
2019-01-02 02:00,2019-01-01 22:00,0,0,0,24.656
2019-01-02 03:00,2019-01-01 23:00,0,0,0,24.335
2019-01-02 04:00,2019-01-02 00:00,0,0,0,24.061
2019-01-02 05:00,2019-01-02 01:00,0,0,0,23.822
2019-01-02 06:00,2019-01-02 02:00,0,0,0,23.655
2019-01-02 07:00,2019-01-02 03:00,0,0,0,23.548
2019-01-02 08:00,2019-01-02 04:00,0,0,0,23.441
2019-01-02 09:00,2019-01-02 05:00,0,0,0,23.361
2019-01-02 10:00,2019-01-02 06:00,0.008,0,0.028,23.516
2019-01-02 11:00,2019-01-02 07:00,0.093,0.004,0.123,24.418
2019-01-02 12:00,2019-01-02 08:00,0.214,0.031,0.233,25.413
2019-01-02 13:00,2019-01-02 09:00,0.317,0.070,0.317,26.343
2019-01-02 14:00,2019-01-02 10:00,0.409,0.121,0.382,27.238
2019-01-02 15:00,2019-01-02 11:00,0.450,0.139,0.419,27.876
2019-01-02 16:00,2019-01-02 12:00,0.455,0.133,0.434,28.250
2019-01-02 17:00,2019-01-02 13:00,0.428,0.111,0.420,28.404
2019-01-02 18:00,2019-01-02 14:00,0.380,0.087,0.382,28.362
2019-01-02 19:00,2019-01-02 15:00,0.288,0.045,0.309,28.082
2019-01-02 20:00,2019-01-02 16:00,0.172,0.014,0.204,27.576
2019-01-02 21:00,2019-01-02 17:00,0.069,0.002,0.099,26.916
2019-01-02 22:00,2019-01-02 18:00,0.004,0,0.021,26.137
