PV,SOLAR,WIND_ONSHORE
0.000000,0.000000,0.171667
0.000000,0.000000,0.168000
0.000000,0.000000,0.155000
0.000000,0.000000,0.160667
0.000000,0.000000,0.170000
0.000000,0.000000,0.163333
0.000000,0.000000,0.152667
0.000000,0.000000,0.132333
0.000000,0.000000,0.118000
0.000000,0.000000,0.102000
0.014000,0.032565,0.080333
0.110667,0.135484,0.106000
0.251333,0.285407,0.142333
0.370000,0.419969,0.130000
0.465667,0.538249,0.119667
0.523667,0.614439,0.122667
0.540667,0.638402,0.132667
0.517667,0.609217,0.148000
0.461333,0.537942,0.159333
0.381000,0.439017,0.161667
0.256667,0.295545,0.154333
0.113000,0.140092,0.141333
0.013667,0.032565,0.129333
0.000000,0.000000,0.179333
0.000000,0.000000,0.226333
0.000000,0.000000,0.241667
0.000000,0.000000,0.254333
0.000000,0.000000,0.244000
0.000000,0.000000,0.219667
0.000000,0.000000,0.183667
0.000000,0.000000,0.138333
0.000000,0.000000,0.114333
0.000000,0.000000,0.104333
0.000000,0.000000,0.099000
0.010333,0.027957,0.075000
0.097000,0.121045,0.121000
0.232000,0.264516,0.207667
0.355000,0.404301,0.178667
0.444333,0.513978,0.135667
0.495333,0.580031,0.113333
0.503667,0.593241,0.111000
0.482333,0.566820,0.118000
0.429667,0.500461,0.122333
0.332333,0.382796,0.119000
0.215000,0.250384,0.109000
0.094333,0.120737,0.082333
0.010000,0.027035,0.073333
0.000000,0.000000,0.138333
0.000000,0.000000,0.186000
0.000000,0.000000,0.204667
0.000000,0.000000,0.192667
0.000000,0.000000,0.175000
0.000000,0.000000,0.155667
0.000000,0.000000,0.141000
0.000000,0.000000,0.146000
0.000000,0.000000,0.137667
0.000000,0.000000,0.123333
0.000000,0.000000,0.116667
0.011333,0.029186,0.083333
0.094333,0.118280,0.059667
0.205333,0.236252,0.096000
0.299000,0.339785,0.105667
0.365000,0.416590,0.168333
0.409333,0.469432,0.241000
0.423333,0.486636,0.253333
0.406000,0.465438,0.243333
0.357333,0.407988,0.231667
0.271333,0.309677,0.213667
0.167333,0.197235,0.185333
0.074333,0.098618,0.139333
0.005000,0.021198,0.105333
0.000000,0.000000,0.099000
0.000000,0.000000,0.098000
0.000000,0.000000,0.108000
0.000000,0.000000,0.101667
0.000000,0.000000,0.094333
0.000000,0.000000,0.080333
0.000000,0.000000,0.080000
0.000000,0.000000,0.082000
0.000000,0.000000,0.081333
0.000000,0.000000,0.073667
0.000000,0.000000,0.067667
0.002000,0.015975,0.056667
0.052000,0.073733,0.035667
0.119333,0.144086,0.058000
0.184667,0.213518,0.097333
0.234333,0.266974,0.122333
0.255000,0.289708,0.132000
0.266000,0.301690,0.138000
0.263333,0.298925,0.139333
0.239333,0.272197,0.120667
0.203333,0.233794,0.080333
0.143000,0.169892,0.038333
0.065667,0.089094,0.019667
0.004333,0.020584,0.027333
0.000000,0.000000,0.049667
0.000000,0.000000,0.049667
0.000000,0.000000,0.068000
0.000000,0.000000,0.085000
0.000000,0.000000,0.084333
0.000000,0.000000,0.063333
0.000000,0.000000,0.036667
0.000000,0.000000,0.020333
0.000000,0.000000,0.023667
0.000000,0.000000,0.026667
0.000000,0.000000,0.030667
0.009000,0.026114,0.024333
0.093000,0.115822,0.010667
0.207333,0.235330,0.018000
0.321000,0.360061,0.025000
0.414667,0.470353,0.026000
0.464333,0.532719,0.027000
0.475000,0.547158,0.029333
0.467667,0.538863,0.029333
0.417333,0.477419,0.022667
0.340667,0.387097,0.010333
0.230000,0.262980,0.003000
0.111667,0.137634,0.001000
0.012667,0.030722,0.000333
0.000000,0.000000,0.000333
0.000000,0.000000,0.000000
0.000000,0.000000,0.001667
0.000000,0.000000,0.010000
0.000000,0.000000,0.017667
0.000000,0.000000,0.024000
0.000000,0.000000,0.028333
0.000000,0.000000,0.031333
0.000000,0.000000,0.032333
0.000000,0.000000,0.028000
0.000000,0.000000,0.020333
0.009667,0.026728,0.013333
0.092333,0.116129,0.002667
0.218667,0.248848,0.008667
0.337333,0.380952,0.018000
0.422667,0.481720,0.028667
0.458667,0.526575,0.045000
0.454000,0.521966,0.076000
0.424333,0.486329,0.109333
0.355667,0.404301,0.126000
0.277667,0.315207,0.108333
0.182000,0.211674,0.073667
0.085333,0.109677,0.058333
0.006000,0.023041,0.059667
0.000000,0.000000,0.056333
0.000000,0.000000,0.050000
0.000000,0.000000,0.046333
0.000000,0.000000,0.034333
0.000000,0.000000,0.026333
0.000000,0.000000,0.020333
0.000000,0.000000,0.016333
0.000000,0.000000,0.013667
0.000000,0.000000,0.015333
0.000000,0.000000,0.020333
0.000000,0.000000,0.025667
0.001667,0.015975,0.028333
0.052667,0.074654,0.016667
0.129667,0.154531,0.036333
0.217333,0.246390,0.098000
0.304000,0.340707,0.159667
0.394667,0.445776,0.192667
0.450000,0.513671,0.209333
0.456333,0.522581,0.216667
0.406333,0.462058,0.210667
0.311000,0.352074,0.189667
0.196000,0.226728,0.149333
0.085667,0.110292,0.098000
0.006667,0.023656,0.072000
0.000000,0.000000,0.070667
0.000000,0.000000,0.061667
0.000000,0.000000,0.057000
0.000000,0.000000,0.055000
0.000000,0.000000,0.070000
0.000000,0.000000,0.091333
0.000000,0.000000,0.127667
0.000000,0.000000,0.158333
0.000000,0.000000,0.148000
0.000000,0.000000,0.117333
0.000000,0.000000,0.121333
0.007667,0.024578,0.105667
0.084667,0.107834,0.069333
0.186333,0.213825,0.134667
0.292000,0.328725,0.211667
0.386000,0.436866,0.271000
0.468333,0.537020,0.287333
0.478333,0.549923,0.267667
0.457333,0.524731,0.248667
0.414667,0.472197,0.205667
0.300333,0.339478,0.143333
0.205333,0.235330,0.111333
0.092333,0.116743,0.091333
0.007333,0.024270,0.105667
0.000000,0.000000,0.142333
0.000000,0.000000,0.133667
0.000000,0.000000,0.100667
0.000000,0.000000,0.086333
0.000000,0.000000,0.097000
0.000000,0.000000,0.084667
0.000000,0.000000,0.085333
0.000000,0.000000,0.103667
0.000000,0.000000,0.127000
0.000000,0.000000,0.149333
0.000000,0.000000,0.151667
0.008333,0.025192,0.146333
0.087000,0.110292,0.127333
0.195667,0.223656,0.200333
0.298667,0.336406,0.232000
0.399000,0.451613,0.250667
0.445667,0.508756,0.284667
0.454333,0.520430,0.292667
0.419333,0.477727,0.260333
0.370333,0.419969,0.224000
0.282667,0.319816,0.198333
0.192333,0.221813,0.147000
0.085000,0.109063,0.094667
0.007333,0.023656,0.088000
0.000000,0.000000,0.092667
0.000000,0.000000,0.093667
0.000000,0.000000,0.102333
0.000000,0.000000,0.121000
0.000000,0.000000,0.136667
0.000000,0.000000,0.138333
0.000000,0.000000,0.140667
0.000000,0.000000,0.148667
0.000000,0.000000,0.148000
0.000000,0.000000,0.156333
0.000000,0.000000,0.165000
0.006000,0.022427,0.159667
0.081000,0.103533,0.108000
0.183000,0.209831,0.211667
0.278333,0.313364,0.353333
0.354333,0.399386,0.361667
0.395000,0.447312,0.336333
0.402000,0.455607,0.304667
0.394333,0.447005,0.265000
0.357000,0.404608,0.239667
0.296333,0.335791,0.187333
0.212667,0.243932,0.122333
0.101333,0.126267,0.085000
0.012333,0.030415,0.082667
0.000000,0.000000,0.098000
0.000000,0.000000,0.090000
0.000000,0.000000,0.080333
0.000000,0.000000,0.068333
0.000000,0.000000,0.061667
0.000000,0.000000,0.064000
0.000000,0.000000,0.068667
0.000000,0.000000,0.085000
0.000000,0.000000,0.104333
0.000000,0.000000,0.115667
0.000000,0.000000,0.110333
0.006667,0.023041,0.094000
0.078333,0.101075,0.072333
0.171333,0.199078,0.078333
0.259000,0.294931,0.092333
0.335667,0.384639,0.095667
0.390333,0.451306,0.085000
0.443333,0.514286,0.072000
0.453000,0.525346,0.064333
0.403333,0.464209,0.060333
0.316333,0.361598,0.046667
0.207000,0.239324,0.026667
0.088000,0.113057,0.008333
0.005333,0.021813,0.004667
0.000000,0.000000,0.011667
0.000000,0.000000,0.016667
0.000000,0.000000,0.032667
0.000000,0.000000,0.052333
0.000000,0.000000,0.067333
0.000000,0.000000,0.076333
0.000000,0.000000,0.079333
0.000000,0.000000,0.067000
0.000000,0.000000,0.061000
0.000000,0.000000,0.070000
0.000000,0.000000,0.066000
0.006333,0.019969,0.050667
