# Renewables.ninja Weather (Point API) - -11.127, -67.794 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-11.1272482", "lon": "-67.7940152", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.878
2019-01-01 01:00,2018-12-31 21:00,24.377
2019-01-01 02:00,2018-12-31 22:00,23.996
2019-01-01 03:00,2018-12-31 23:00,23.732
2019-01-01 04:00,2019-01-01 00:00,23.467
2019-01-01 05:00,2019-01-01 01:00,23.238
2019-01-01 06:00,2019-01-01 02:00,23.052
2019-01-01 07:00,2019-01-01 03:00,22.878
2019-01-01 08:00,2019-01-01 04:00,22.737
2019-01-01 09:00,2019-01-01 05:00,22.658
2019-01-01 10:00,2019-01-01 06:00,22.775
2019-01-01 11:00,2019-01-01 07:00,23.408
2019-01-01 12:00,2019-01-01 08:00,24.240
2019-01-01 13:00,2019-01-01 09:00,25.254
2019-01-01 14:00,2019-01-01 10:00,26.285
2019-01-01 15:00,2019-01-01 11:00,27.118
2019-01-01 16:00,2019-01-01 12:00,27.676
2019-01-01 17:00,2019-01-01 13:00,27.974
2019-01-01 18:00,2019-01-01 14:00,28.031
2019-01-01 19:00,2019-01-01 15:00,27.874
2019-01-01 20:00,2019-01-01 16:00,27.533
2019-01-01 21:00,2019-01-01 17:00,26.980
2019-01-01 22:00,2019-01-01 18:00,26.150
2019-01-01 23:00,2019-01-01 19:00,25.224
2019-01-02 00:00,2019-01-01 20:00,24.814
2019-01-02 01:00,2019-01-01 21:00,24.549
2019-01-02 02:00,2019-01-01 22:00,24.335
2019-01-02 03:00,2019-01-01 23:00,24.172
2019-01-02 04:00,2019-01-02 00:00,24.083
2019-01-02 05:00,2019-01-02 01:00,23.962
2019-01-02 06:00,2019-01-02 02:00,23.769
2019-01-02 07:00,2019-01-02 03:00,23.559
2019-01-02 08:00,2019-01-02 04:00,23.366
2019-01-02 09:00,2019-01-02 05:00,23.177
2019-01-02 10:00,2019-01-02 06:00,23.145
2019-01-02 11:00,2019-01-02 07:00,24.096
2019-01-02 12:00,2019-01-02 08:00,25.392
2019-01-02 13:00,2019-01-02 09:00,26.642
2019-01-02 14:00,2019-01-02 10:00,28.155
2019-01-02 15:00,2019-01-02 11:00,29.302
2019-01-02 16:00,2019-01-02 12:00,30.044
2019-01-02 17:00,2019-01-02 13:00,30.367
2019-01-02 18:00,2019-01-02 14:00,30.348
2019-01-02 19:00,2019-01-02 15:00,30.010
2019-01-02 20:00,2019-01-02 16:00,29.463
2019-01-02 21:00,2019-01-02 17:00,28.781
2019-01-02 22:00,2019-01-02 18:00,27.595
2019-01-02 23:00,2019-01-02 19:00,26.284
2019-01-03 00:00,2019-01-02 20:00,25.674
2019-01-03 01:00,2019-01-02 21:00,25.321
2019-01-03 02:00,2019-01-02 22:00,24.950
2019-01-03 03:00,2019-01-02 23:00,24.644
2019-01-03 04:00,2019-01-03 00:00,24.347
2019-01-03 05:00,2019-01-03 01:00,24.041
2019-01-03 06:00,2019-01-03 02:00,23.735
2019-01-03 07:00,2019-01-03 03:00,23.500
2019-01-03 08:00,2019-01-03 04:00,23.309
2019-01-03 09:00,2019-01-03 05:00,23.133
2019-01-03 10:00,2019-01-03 06:00,23.157
2019-01-03 11:00,2019-01-03 07:00,24.053
2019-01-03 12:00,2019-01-03 08:00,25.288
2019-01-03 13:00,2019-01-03 09:00,26.455
2019-01-03 14:00,2019-01-03 10:00,27.872
2019-01-03 15:00,2019-01-03 11:00,28.782
2019-01-03 16:00,2019-01-03 12:00,29.462
2019-01-03 17:00,2019-01-03 13:00,29.994
2019-01-03 18:00,2019-01-03 14:00,30.156
2019-01-03 19:00,2019-01-03 15:00,29.924
2019-01-03 20:00,2019-01-03 16:00,29.359
2019-01-03 21:00,2019-01-03 17:00,28.584
2019-01-03 22:00,2019-01-03 18:00,27.658
2019-01-03 23:00,2019-01-03 19:00,26.617
2019-01-04 00:00,2019-01-03 20:00,26.034
2019-01-04 01:00,2019-01-03 21:00,25.812
2019-01-04 02:00,2019-01-03 22:00,25.619
2019-01-04 03:00,2019-01-03 23:00,25.237
2019-01-04 04:00,2019-01-04 00:00,24.864
2019-01-04 05:00,2019-01-04 01:00,24.589
2019-01-04 06:00,2019-01-04 02:00,24.364
2019-01-04 07:00,2019-01-04 03:00,24.123
2019-01-04 08:00,2019-01-04 04:00,23.907
2019-01-04 09:00,2019-01-04 05:00,23.739
2019-01-04 10:00,2019-01-04 06:00,23.809
2019-01-04 11:00,2019-01-04 07:00,24.479
2019-01-04 12:00,2019-01-04 08:00,25.262
2019-01-04 13:00,2019-01-04 09:00,25.900
2019-01-04 14:00,2019-01-04 10:00,26.330
2019-01-04 15:00,2019-01-04 11:00,26.761
2019-01-04 16:00,2019-01-04 12:00,27.074
2019-01-04 17:00,2019-01-04 13:00,27.211
