# Renewables.ninja Weather (Point API) - -11.018, -68.754 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-11.0184614", "lon": "-68.7538149", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.868
2019-01-01 01:00,2018-12-31 21:00,24.350
2019-01-01 02:00,2018-12-31 22:00,23.882
2019-01-01 03:00,2018-12-31 23:00,23.466
2019-01-01 04:00,2019-01-01 00:00,23.119
2019-01-01 05:00,2019-01-01 01:00,22.900
2019-01-01 06:00,2019-01-01 02:00,22.806
2019-01-01 07:00,2019-01-01 03:00,22.737
2019-01-01 08:00,2019-01-01 04:00,22.611
2019-01-01 09:00,2019-01-01 05:00,22.516
2019-01-01 10:00,2019-01-01 06:00,22.521
2019-01-01 11:00,2019-01-01 07:00,22.938
2019-01-01 12:00,2019-01-01 08:00,23.779
2019-01-01 13:00,2019-01-01 09:00,25.184
2019-01-01 14:00,2019-01-01 10:00,26.574
2019-01-01 15:00,2019-01-01 11:00,27.380
2019-01-01 16:00,2019-01-01 12:00,27.900
2019-01-01 17:00,2019-01-01 13:00,28.287
2019-01-01 18:00,2019-01-01 14:00,28.538
2019-01-01 19:00,2019-01-01 15:00,28.645
2019-01-01 20:00,2019-01-01 16:00,28.484
2019-01-01 21:00,2019-01-01 17:00,27.853
2019-01-01 22:00,2019-01-01 18:00,26.775
2019-01-01 23:00,2019-01-01 19:00,25.625
2019-01-02 00:00,2019-01-01 20:00,25.033
2019-01-02 01:00,2019-01-01 21:00,24.664
2019-01-02 02:00,2019-01-01 22:00,24.310
2019-01-02 03:00,2019-01-01 23:00,23.966
2019-01-02 04:00,2019-01-02 00:00,23.870
2019-01-02 05:00,2019-01-02 01:00,23.771
2019-01-02 06:00,2019-01-02 02:00,23.546
2019-01-02 07:00,2019-01-02 03:00,23.311
2019-01-02 08:00,2019-01-02 04:00,23.110
2019-01-02 09:00,2019-01-02 05:00,22.961
2019-01-02 10:00,2019-01-02 06:00,22.926
2019-01-02 11:00,2019-01-02 07:00,24.085
2019-01-02 12:00,2019-01-02 08:00,25.892
2019-01-02 13:00,2019-01-02 09:00,27.401
2019-01-02 14:00,2019-01-02 10:00,28.920
2019-01-02 15:00,2019-01-02 11:00,30.149
2019-01-02 16:00,2019-01-02 12:00,30.977
2019-01-02 17:00,2019-01-02 13:00,31.275
2019-01-02 18:00,2019-01-02 14:00,31.254
2019-01-02 19:00,2019-01-02 15:00,30.804
2019-01-02 20:00,2019-01-02 16:00,30.209
2019-01-02 21:00,2019-01-02 17:00,29.447
2019-01-02 22:00,2019-01-02 18:00,28.054
2019-01-02 23:00,2019-01-02 19:00,26.564
2019-01-03 00:00,2019-01-02 20:00,25.854
2019-01-03 01:00,2019-01-02 21:00,25.432
2019-01-03 02:00,2019-01-02 22:00,24.951
2019-01-03 03:00,2019-01-02 23:00,24.561
2019-01-03 04:00,2019-01-03 00:00,24.266
2019-01-03 05:00,2019-01-03 01:00,24.013
2019-01-03 06:00,2019-01-03 02:00,23.786
2019-01-03 07:00,2019-01-03 03:00,23.578
2019-01-03 08:00,2019-01-03 04:00,23.382
2019-01-03 09:00,2019-01-03 05:00,23.179
2019-01-03 10:00,2019-01-03 06:00,23.109
2019-01-03 11:00,2019-01-03 07:00,23.800
2019-01-03 12:00,2019-01-03 08:00,24.868
2019-01-03 13:00,2019-01-03 09:00,25.961
2019-01-03 14:00,2019-01-03 10:00,27.571
2019-01-03 15:00,2019-01-03 11:00,29.106
2019-01-03 16:00,2019-01-03 12:00,29.898
2019-01-03 17:00,2019-01-03 13:00,30.173
2019-01-03 18:00,2019-01-03 14:00,30.191
2019-01-03 19:00,2019-01-03 15:00,30.013
2019-01-03 20:00,2019-01-03 16:00,29.593
2019-01-03 21:00,2019-01-03 17:00,28.864
2019-01-03 22:00,2019-01-03 18:00,27.795
2019-01-03 23:00,2019-01-03 19:00,26.634
2019-01-04 00:00,2019-01-03 20:00,26.024
2019-01-04 01:00,2019-01-03 21:00,25.843
2019-01-04 02:00,2019-01-03 22:00,25.720
2019-01-04 03:00,2019-01-03 23:00,25.384
2019-01-04 04:00,2019-01-04 00:00,24.988
2019-01-04 05:00,2019-01-04 01:00,24.601
2019-01-04 06:00,2019-01-04 02:00,24.284
2019-01-04 07:00,2019-01-04 03:00,23.982
2019-01-04 08:00,2019-01-04 04:00,23.681
2019-01-04 09:00,2019-01-04 05:00,23.516
2019-01-04 10:00,2019-01-04 06:00,23.635
2019-01-04 11:00,2019-01-04 07:00,24.267
2019-01-04 12:00,2019-01-04 08:00,25.162
2019-01-04 13:00,2019-01-04 09:00,25.747
2019-01-04 14:00,2019-01-04 10:00,26.394
2019-01-04 15:00,2019-01-04 11:00,26.983
2019-01-04 16:00,2019-01-04 12:00,27.338
2019-01-04 17:00,2019-01-04 13:00,27.431
2019-01-04 18:00,2019-01-04 14:00,27.336
2019-01-04 19:00,2019-01-04 15:00,27.050
2019-01-04 20:00,2019-01-04 16:00,26.648
2019-01-04 21:00,2019-01-04 17:00,26.153
2019-01-04 22:00,2019-01-04 18:00,25.689
2019-01-04 23:00,2019-01-04 19:00,25.012
2019-01-05 00:00,2019-01-04 20:00,24.501
2019-01-05 01:00,2019-01-04 21:00,24.323
2019-01-05 02:00,2019-01-04 22:00,24.185
2019-01-05 03:00,2019-01-04 23:00,24.064
2019-01-05 04:00,2019-01-05 00:00,23.876
2019-01-05 05:00,2019-01-05 01:00,23.679
2019-01-05 06:00,2019-01-05 02:00,23.480
2019-01-05 07:00,2019-01-05 03:00,23.257
2019-01-05 08:00,2019-01-05 04:00,23.081
2019-01-05 09:00,2019-01-05 05:00,22.935
2019-01-05 10:00,2019-01-05 06:00,22.924
2019-01-05 11:00,2019-01-05 07:00,23.614
2019-01-05 12:00,2019-01-05 08:00,24.488
2019-01-05 13:00,2019-01-05 09:00,25.593
2019-01-05 14:00,2019-01-05 10:00,26.414
2019-01-05 15:00,2019-01-05 11:00,27.593
2019-01-05 16:00,2019-01-05 12:00,28.704
2019-01-05 17:00,2019-01-05 13:00,29.365
2019-01-05 18:00,2019-01-05 14:00,29.758
2019-01-05 19:00,2019-01-05 15:00,29.838
2019-01-05 20:00,2019-01-05 16:00,29.537
2019-01-05 21:00,2019-01-05 17:00,28.927
2019-01-05 22:00,2019-01-05 18:00,27.648
2019-01-05 23:00,2019-01-05 19:00,26.284
2019-01-06 00:00,2019-01-05 20:00,25.837
2019-01-06 01:00,2019-01-05 21:00,25.320
2019-01-06 02:00,2019-01-05 22:00,24.747
2019-01-06 03:00,2019-01-05 23:00,24.332
2019-01-06 04:00,2019-01-06 00:00,23.999
2019-01-06 05:00,2019-01-06 01:00,23.679
2019-01-06 06:00,2019-01-06 02:00,23.396
2019-01-06 07:00,2019-01-06 03:00,23.217
2019-01-06 08:00,2019-01-06 04:00,23.116
2019-01-06 09:00,2019-01-06 05:00,23.035
2019-01-06 10:00,2019-01-06 06:00,23.080
2019-01-06 11:00,2019-01-06 07:00,24.103
2019-01-06 12:00,2019-01-06 08:00,25.812
2019-01-06 13:00,2019-01-06 09:00,27.671
2019-01-06 14:00,2019-01-06 10:00,29.323
2019-01-06 15:00,2019-01-06 11:00,30.537
2019-01-06 16:00,2019-01-06 12:00,31.335
2019-01-06 17:00,2019-01-06 13:00,31.767
2019-01-06 18:00,2019-01-06 14:00,31.845
2019-01-06 19:00,2019-01-06 15:00,31.491
2019-01-06 20:00,2019-01-06 16:00,30.720
2019-01-06 21:00,2019-01-06 17:00,29.515
2019-01-06 22:00,2019-01-06 18:00,28.207
2019-01-06 23:00,2019-01-06 19:00,27.137
2019-01-07 00:00,2019-01-06 20:00,26.250
2019-01-07 01:00,2019-01-06 21:00,25.578
2019-01-07 02:00,2019-01-06 22:00,25.070
2019-01-07 03:00,2019-01-06 23:00,24.646
2019-01-07 04:00,2019-01-07 00:00,24.334
2019-01-07 05:00,2019-01-07 01:00,24.061
2019-01-07 06:00,2019-01-07 02:00,23.797
2019-01-07 07:00,2019-01-07 03:00,23.511
2019-01-07 08:00,2019-01-07 04:00,23.284
2019-01-07 09:00,2019-01-07 05:00,23.162
2019-01-07 10:00,2019-01-07 06:00,23.158
2019-01-07 11:00,2019-01-07 07:00,23.798
2019-01-07 12:00,2019-01-07 08:00,24.696
2019-01-07 13:00,2019-01-07 09:00,25.426
2019-01-07 14:00,2019-01-07 10:00,26.159
2019-01-07 15:00,2019-01-07 11:00,26.961
2019-01-07 16:00,2019-01-07 12:00,27.557
2019-01-07 17:00,2019-01-07 13:00,27.690
2019-01-07 18:00,2019-01-07 14:00,27.509
2019-01-07 19:00,2019-01-07 15:00,26.998
2019-01-07 20:00,2019-01-07 16:00,26.347
2019-01-07 21:00,2019-01-07 17:00,25.767
2019-01-07 22:00,2019-01-07 18:00,25.266
2019-01-07 23:00,2019-01-07 19:00,24.828
2019-01-08 00:00,2019-01-07 20:00,24.610
2019-01-08 01:00,2019-01-07 21:00,24.439
2019-01-08 02:00,2019-01-07 22:00,24.275
2019-01-08 03:00,2019-01-07 23:00,24.148
2019-01-08 04:00,2019-01-08 00:00,24.014
2019-01-08 05:00,2019-01-08 01:00,23.877
2019-01-08 06:00,2019-01-08 02:00,23.748
2019-01-08 07:00,2019-01-08 03:00,23.622
2019-01-08 08:00,2019-01-08 04:00,23.472
2019-01-08 09:00,2019-01-08 05:00,23.267
2019-01-08 10:00,2019-01-08 06:00,23.082
