# Renewables.ninja Weather (Point API) - -11.347, -68.757 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-11.3466248", "lon": "-68.7571097", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.816
2019-01-01 01:00,2018-12-31 21:00,24.328
2019-01-01 02:00,2018-12-31 22:00,23.895
2019-01-01 03:00,2018-12-31 23:00,23.464
2019-01-01 04:00,2019-01-01 00:00,23.082
2019-01-01 05:00,2019-01-01 01:00,22.806
2019-01-01 06:00,2019-01-01 02:00,22.707
2019-01-01 07:00,2019-01-01 03:00,22.647
2019-01-01 08:00,2019-01-01 04:00,22.521
2019-01-01 09:00,2019-01-01 05:00,22.416
2019-01-01 10:00,2019-01-01 06:00,22.416
2019-01-01 11:00,2019-01-01 07:00,22.901
2019-01-01 12:00,2019-01-01 08:00,23.791
2019-01-01 13:00,2019-01-01 09:00,25.136
2019-01-01 14:00,2019-01-01 10:00,26.544
2019-01-01 15:00,2019-01-01 11:00,27.360
2019-01-01 16:00,2019-01-01 12:00,27.702
2019-01-01 17:00,2019-01-01 13:00,27.915
2019-01-01 18:00,2019-01-01 14:00,28.095
2019-01-01 19:00,2019-01-01 15:00,28.155
2019-01-01 20:00,2019-01-01 16:00,27.958
2019-01-01 21:00,2019-01-01 17:00,27.407
2019-01-01 22:00,2019-01-01 18:00,26.422
2019-01-01 23:00,2019-01-01 19:00,25.401
2019-01-02 00:00,2019-01-01 20:00,24.901
2019-01-02 01:00,2019-01-01 21:00,24.511
2019-01-02 02:00,2019-01-01 22:00,24.136
2019-01-02 03:00,2019-01-01 23:00,23.823
2019-01-02 04:00,2019-01-02 00:00,23.679
2019-01-02 05:00,2019-01-02 01:00,23.544
2019-01-02 06:00,2019-01-02 02:00,23.361
2019-01-02 07:00,2019-01-02 03:00,23.151
2019-01-02 08:00,2019-01-02 04:00,22.940
2019-01-02 09:00,2019-01-02 05:00,22.775
2019-01-02 10:00,2019-01-02 06:00,22.759
2019-01-02 11:00,2019-01-02 07:00,23.909
2019-01-02 12:00,2019-01-02 08:00,25.593
2019-01-02 13:00,2019-01-02 09:00,27.051
2019-01-02 14:00,2019-01-02 10:00,28.473
2019-01-02 15:00,2019-01-02 11:00,29.668
2019-01-02 16:00,2019-01-02 12:00,30.477
2019-01-02 17:00,2019-01-02 13:00,30.786
2019-01-02 18:00,2019-01-02 14:00,30.797
2019-01-02 19:00,2019-01-02 15:00,30.449
2019-01-02 20:00,2019-01-02 16:00,29.859
2019-01-02 21:00,2019-01-02 17:00,29.131
2019-01-02 22:00,2019-01-02 18:00,27.834
2019-01-02 23:00,2019-01-02 19:00,26.330
2019-01-03 00:00,2019-01-02 20:00,25.615
2019-01-03 01:00,2019-01-02 21:00,25.259
2019-01-03 02:00,2019-01-02 22:00,24.891
2019-01-03 03:00,2019-01-02 23:00,24.572
2019-01-03 04:00,2019-01-03 00:00,24.308
2019-01-03 05:00,2019-01-03 01:00,24.059
2019-01-03 06:00,2019-01-03 02:00,23.842
2019-01-03 07:00,2019-01-03 03:00,23.670
2019-01-03 08:00,2019-01-03 04:00,23.484
2019-01-03 09:00,2019-01-03 05:00,23.292
2019-01-03 10:00,2019-01-03 06:00,23.201
2019-01-03 11:00,2019-01-03 07:00,23.784
2019-01-03 12:00,2019-01-03 08:00,24.714
2019-01-03 13:00,2019-01-03 09:00,25.710
2019-01-03 14:00,2019-01-03 10:00,27.198
2019-01-03 15:00,2019-01-03 11:00,28.804
2019-01-03 16:00,2019-01-03 12:00,29.601
2019-01-03 17:00,2019-01-03 13:00,29.835
2019-01-03 18:00,2019-01-03 14:00,29.848
2019-01-03 19:00,2019-01-03 15:00,29.694
2019-01-03 20:00,2019-01-03 16:00,29.263
2019-01-03 21:00,2019-01-03 17:00,28.575
2019-01-03 22:00,2019-01-03 18:00,27.659
2019-01-03 23:00,2019-01-03 19:00,26.525
2019-01-04 00:00,2019-01-03 20:00,25.804
2019-01-04 01:00,2019-01-03 21:00,25.466
2019-01-04 02:00,2019-01-03 22:00,25.292
