# Renewables.ninja Weather (Point API) - -10.954, -66.829 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-10.9539964", "lon": "-66.8290114", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.786
2019-01-01 01:00,2018-12-31 21:00,24.496
2019-01-01 02:00,2018-12-31 22:00,24.204
2019-01-01 03:00,2018-12-31 23:00,23.990
2019-01-01 04:00,2019-01-01 00:00,23.811
2019-01-01 05:00,2019-01-01 01:00,23.633
2019-01-01 06:00,2019-01-01 02:00,23.428
2019-01-01 07:00,2019-01-01 03:00,23.250
2019-01-01 08:00,2019-01-01 04:00,23.069
2019-01-01 09:00,2019-01-01 05:00,22.932
2019-01-01 10:00,2019-01-01 06:00,23.027
2019-01-01 11:00,2019-01-01 07:00,23.595
2019-01-01 12:00,2019-01-01 08:00,24.295
2019-01-01 13:00,2019-01-01 09:00,25.191
2019-01-01 14:00,2019-01-01 10:00,25.801
2019-01-01 15:00,2019-01-01 11:00,26.316
2019-01-01 16:00,2019-01-01 12:00,26.774
2019-01-01 17:00,2019-01-01 13:00,27.013
2019-01-01 18:00,2019-01-01 14:00,27.024
2019-01-01 19:00,2019-01-01 15:00,26.906
2019-01-01 20:00,2019-01-01 16:00,26.806
2019-01-01 21:00,2019-01-01 17:00,26.514
2019-01-01 22:00,2019-01-01 18:00,25.883
2019-01-01 23:00,2019-01-01 19:00,25.106
2019-01-02 00:00,2019-01-01 20:00,24.843
2019-01-02 01:00,2019-01-01 21:00,24.666
2019-01-02 02:00,2019-01-01 22:00,24.468
2019-01-02 03:00,2019-01-01 23:00,24.283
2019-01-02 04:00,2019-01-02 00:00,24.116
2019-01-02 05:00,2019-01-02 01:00,23.979
2019-01-02 06:00,2019-01-02 02:00,23.854
2019-01-02 07:00,2019-01-02 03:00,23.691
2019-01-02 08:00,2019-01-02 04:00,23.546
2019-01-02 09:00,2019-01-02 05:00,23.392
2019-01-02 10:00,2019-01-02 06:00,23.370
2019-01-02 11:00,2019-01-02 07:00,23.909
2019-01-02 12:00,2019-01-02 08:00,24.788
2019-01-02 13:00,2019-01-02 09:00,25.732
2019-01-02 14:00,2019-01-02 10:00,26.695
2019-01-02 15:00,2019-01-02 11:00,27.993
2019-01-02 16:00,2019-01-02 12:00,28.745
2019-01-02 17:00,2019-01-02 13:00,29.096
2019-01-02 18:00,2019-01-02 14:00,29.117
2019-01-02 19:00,2019-01-02 15:00,28.871
2019-01-02 20:00,2019-01-02 16:00,28.390
2019-01-02 21:00,2019-01-02 17:00,27.745
2019-01-02 22:00,2019-01-02 18:00,26.710
2019-01-02 23:00,2019-01-02 19:00,25.628
2019-01-03 00:00,2019-01-02 20:00,25.065
2019-01-03 01:00,2019-01-02 21:00,24.731
2019-01-03 02:00,2019-01-02 22:00,24.516
2019-01-03 03:00,2019-01-02 23:00,24.292
2019-01-03 04:00,2019-01-03 00:00,24.039
2019-01-03 05:00,2019-01-03 01:00,23.788
2019-01-03 06:00,2019-01-03 02:00,23.520
2019-01-03 07:00,2019-01-03 03:00,23.350
2019-01-03 08:00,2019-01-03 04:00,23.169
2019-01-03 09:00,2019-01-03 05:00,22.967
2019-01-03 10:00,2019-01-03 06:00,23.095
2019-01-03 11:00,2019-01-03 07:00,24.354
2019-01-03 12:00,2019-01-03 08:00,25.896
2019-01-03 13:00,2019-01-03 09:00,27.177
2019-01-03 14:00,2019-01-03 10:00,28.275
2019-01-03 15:00,2019-01-03 11:00,28.951
2019-01-03 16:00,2019-01-03 12:00,29.340
2019-01-03 17:00,2019-01-03 13:00,29.417
2019-01-03 18:00,2019-01-03 14:00,29.313
2019-01-03 19:00,2019-01-03 15:00,28.923
2019-01-03 20:00,2019-01-03 16:00,28.434
2019-01-03 21:00,2019-01-03 17:00,27.950
2019-01-03 22:00,2019-01-03 18:00,27.163
2019-01-03 23:00,2019-01-03 19:00,26.247
2019-01-04 00:00,2019-01-03 20:00,25.950
2019-01-04 01:00,2019-01-03 21:00,25.793
2019-01-04 02:00,2019-01-03 22:00,25.520
2019-01-04 03:00,2019-01-03 23:00,25.202
2019-01-04 04:00,2019-01-04 00:00,24.918
2019-01-04 05:00,2019-01-04 01:00,24.688
2019-01-04 06:00,2019-01-04 02:00,24.481
2019-01-04 07:00,2019-01-04 03:00,24.304
2019-01-04 08:00,2019-01-04 04:00,24.160
2019-01-04 09:00,2019-01-04 05:00,24.063
2019-01-04 10:00,2019-01-04 06:00,24.129
2019-01-04 11:00,2019-01-04 07:00,24.666
2019-01-04 12:00,2019-01-04 08:00,25.337
2019-01-04 13:00,2019-01-04 09:00,26.118
2019-01-04 14:00,2019-01-04 10:00,26.487
2019-01-04 15:00,2019-01-04 11:00,26.808
2019-01-04 16:00,2019-01-04 12:00,27.038
2019-01-04 17:00,2019-01-04 13:00,27.192
2019-01-04 18:00,2019-01-04 14:00,27.232
2019-01-04 19:00,2019-01-04 15:00,27.151
2019-01-04 20:00,2019-01-04 16:00,26.937
2019-01-04 21:00,2019-01-04 17:00,26.650
2019-01-04 22:00,2019-01-04 18:00,26.287
2019-01-04 23:00,2019-01-04 19:00,25.557
2019-01-05 00:00,2019-01-04 20:00,24.898
2019-01-05 01:00,2019-01-04 21:00,24.652
2019-01-05 02:00,2019-01-04 22:00,24.613
2019-01-05 03:00,2019-01-04 23:00,24.502
2019-01-05 04:00,2019-01-05 00:00,24.290
2019-01-05 05:00,2019-01-05 01:00,24.069
2019-01-05 06:00,2019-01-05 02:00,23.882
2019-01-05 07:00,2019-01-05 03:00,23.655
2019-01-05 08:00,2019-01-05 04:00,23.468
2019-01-05 09:00,2019-01-05 05:00,23.283
2019-01-05 10:00,2019-01-05 06:00,23.311
2019-01-05 11:00,2019-01-05 07:00,24.008
2019-01-05 12:00,2019-01-05 08:00,24.992
2019-01-05 13:00,2019-01-05 09:00,25.780
2019-01-05 14:00,2019-01-05 10:00,26.665
2019-01-05 15:00,2019-01-05 11:00,27.867
2019-01-05 16:00,2019-01-05 12:00,28.510
2019-01-05 17:00,2019-01-05 13:00,28.812
2019-01-05 18:00,2019-01-05 14:00,28.962
2019-01-05 19:00,2019-01-05 15:00,28.914
2019-01-05 20:00,2019-01-05 16:00,28.585
2019-01-05 21:00,2019-01-05 17:00,28.066
2019-01-05 22:00,2019-01-05 18:00,27.063
2019-01-05 23:00,2019-01-05 19:00,25.858
2019-01-06 00:00,2019-01-05 20:00,25.308
2019-01-06 01:00,2019-01-05 21:00,25.003
2019-01-06 02:00,2019-01-05 22:00,24.733
2019-01-06 03:00,2019-01-05 23:00,24.501
2019-01-06 04:00,2019-01-06 00:00,24.298
2019-01-06 05:00,2019-01-06 01:00,24.147
2019-01-06 06:00,2019-01-06 02:00,23.952
2019-01-06 07:00,2019-01-06 03:00,23.751
2019-01-06 08:00,2019-01-06 04:00,23.553
2019-01-06 09:00,2019-01-06 05:00,23.375
2019-01-06 10:00,2019-01-06 06:00,23.497
2019-01-06 11:00,2019-01-06 07:00,24.969
2019-01-06 12:00,2019-01-06 08:00,26.526
2019-01-06 13:00,2019-01-06 09:00,27.603
2019-01-06 14:00,2019-01-06 10:00,28.428
2019-01-06 15:00,2019-01-06 11:00,29.084
2019-01-06 16:00,2019-01-06 12:00,29.524
2019-01-06 17:00,2019-01-06 13:00,29.646
2019-01-06 18:00,2019-01-06 14:00,29.582
2019-01-06 19:00,2019-01-06 15:00,29.331
2019-01-06 20:00,2019-01-06 16:00,28.881
2019-01-06 21:00,2019-01-06 17:00,28.066
2019-01-06 22:00,2019-01-06 18:00,27.074
2019-01-06 23:00,2019-01-06 19:00,26.285
2019-01-07 00:00,2019-01-06 20:00,25.737
2019-01-07 01:00,2019-01-06 21:00,25.383
2019-01-07 02:00,2019-01-06 22:00,25.148
2019-01-07 03:00,2019-01-06 23:00,24.938
2019-01-07 04:00,2019-01-07 00:00,24.757
2019-01-07 05:00,2019-01-07 01:00,24.604
2019-01-07 06:00,2019-01-07 02:00,24.461
2019-01-07 07:00,2019-01-07 03:00,24.293
2019-01-07 08:00,2019-01-07 04:00,24.127
2019-01-07 09:00,2019-01-07 05:00,24.018
2019-01-07 10:00,2019-01-07 06:00,24.000
2019-01-07 11:00,2019-01-07 07:00,24.422
2019-01-07 12:00,2019-01-07 08:00,25.156
2019-01-07 13:00,2019-01-07 09:00,25.907
2019-01-07 14:00,2019-01-07 10:00,26.512
2019-01-07 15:00,2019-01-07 11:00,27.148
2019-01-07 16:00,2019-01-07 12:00,27.664
2019-01-07 17:00,2019-01-07 13:00,27.963
2019-01-07 18:00,2019-01-07 14:00,27.966
2019-01-07 19:00,2019-01-07 15:00,27.739
2019-01-07 20:00,2019-01-07 16:00,27.367
2019-01-07 21:00,2019-01-07 17:00,26.810
2019-01-07 22:00,2019-01-07 18:00,26.130
2019-01-07 23:00,2019-01-07 19:00,25.508
2019-01-08 00:00,2019-01-07 20:00,25.293
2019-01-08 01:00,2019-01-07 21:00,25.146
2019-01-08 02:00,2019-01-07 22:00,25.006
2019-01-08 03:00,2019-01-07 23:00,24.886
2019-01-08 04:00,2019-01-08 00:00,24.612
2019-01-08 05:00,2019-01-08 01:00,24.302
2019-01-08 06:00,2019-01-08 02:00,23.989
2019-01-08 07:00,2019-01-08 03:00,23.727
2019-01-08 08:00,2019-01-08 04:00,23.524
2019-01-08 09:00,2019-01-08 05:00,23.368
2019-01-08 10:00,2019-01-08 06:00,23.251
2019-01-08 11:00,2019-01-08 07:00,23.449
2019-01-08 12:00,2019-01-08 08:00,23.870
2019-01-08 13:00,2019-01-08 09:00,24.320
2019-01-08 14:00,2019-01-08 10:00,24.760
2019-01-08 15:00,2019-01-08 11:00,25.209
2019-01-08 16:00,2019-01-08 12:00,25.553
2019-01-08 17:00,2019-01-08 13:00,25.726
2019-01-08 18:00,2019-01-08 14:00,25.795
2019-01-08 19:00,2019-01-08 15:00,25.780
2019-01-08 20:00,2019-01-08 16:00,25.694
2019-01-08 21:00,2019-01-08 17:00,25.491
2019-01-08 22:00,2019-01-08 18:00,25.002
2019-01-08 23:00,2019-01-08 19:00,24.400
2019-01-09 00:00,2019-01-08 20:00,24.171
2019-01-09 01:00,2019-01-08 21:00,24.104
2019-01-09 02:00,2019-01-08 22:00,23.905
2019-01-09 03:00,2019-01-08 23:00,23.669
2019-01-09 04:00,2019-01-09 00:00,23.452
2019-01-09 05:00,2019-01-09 01:00,23.252
2019-01-09 06:00,2019-01-09 02:00,23.067
2019-01-09 07:00,2019-01-09 03:00,22.920
2019-01-09 08:00,2019-01-09 04:00,22.825
2019-01-09 09:00,2019-01-09 05:00,22.743
2019-01-09 10:00,2019-01-09 06:00,22.742
2019-01-09 11:00,2019-01-09 07:00,23.158
2019-01-09 12:00,2019-01-09 08:00,23.785
2019-01-09 13:00,2019-01-09 09:00,24.299
2019-01-09 14:00,2019-01-09 10:00,24.602
2019-01-09 15:00,2019-01-09 11:00,25.305
2019-01-09 16:00,2019-01-09 12:00,26.098
2019-01-09 17:00,2019-01-09 13:00,26.660
2019-01-09 18:00,2019-01-09 14:00,26.911
2019-01-09 19:00,2019-01-09 15:00,26.921
2019-01-09 20:00,2019-01-09 16:00,26.618
2019-01-09 21:00,2019-01-09 17:00,26.075
2019-01-09 22:00,2019-01-09 18:00,25.345
2019-01-09 23:00,2019-01-09 19:00,24.730
2019-01-10 00:00,2019-01-09 20:00,24.435
2019-01-10 01:00,2019-01-09 21:00,24.206
2019-01-10 02:00,2019-01-09 22:00,23.974
2019-01-10 03:00,2019-01-09 23:00,23.721
2019-01-10 04:00,2019-01-10 00:00,23.486
2019-01-10 05:00,2019-01-10 01:00,23.196
2019-01-10 06:00,2019-01-10 02:00,22.930
2019-01-10 07:00,2019-01-10 03:00,22.733
2019-01-10 08:00,2019-01-10 04:00,22.579
2019-01-10 09:00,2019-01-10 05:00,22.437
2019-01-10 10:00,2019-01-10 06:00,22.411
2019-01-10 11:00,2019-01-10 07:00,22.932
2019-01-10 12:00,2019-01-10 08:00,23.753
2019-01-10 13:00,2019-01-10 09:00,24.599
2019-01-10 14:00,2019-01-10 10:00,25.518
2019-01-10 15:00,2019-01-10 11:00,26.187
2019-01-10 16:00,2019-01-10 12:00,26.640
2019-01-10 17:00,2019-01-10 13:00,26.981
2019-01-10 18:00,2019-01-10 14:00,27.174
2019-01-10 19:00,2019-01-10 15:00,27.129
2019-01-10 20:00,2019-01-10 16:00,26.887
2019-01-10 21:00,2019-01-10 17:00,26.386
2019-01-10 22:00,2019-01-10 18:00,25.570
2019-01-10 23:00,2019-01-10 19:00,24.711
2019-01-11 00:00,2019-01-10 20:00,24.221
2019-01-11 01:00,2019-01-10 21:00,23.902
2019-01-11 02:00,2019-01-10 22:00,23.640
2019-01-11 03:00,2019-01-10 23:00,23.427
2019-01-11 04:00,2019-01-11 00:00,23.233
2019-01-11 05:00,2019-01-11 01:00,23.023
2019-01-11 06:00,2019-01-11 02:00,22.791
2019-01-11 07:00,2019-01-11 03:00,22.559
2019-01-11 08:00,2019-01-11 04:00,22.309
2019-01-11 09:00,2019-01-11 05:00,22.102
2019-01-11 10:00,2019-01-11 06:00,22.199
2019-01-11 11:00,2019-01-11 07:00,23.702
2019-01-11 12:00,2019-01-11 08:00,25.211
2019-01-11 13:00,2019-01-11 09:00,26.262
2019-01-11 14:00,2019-01-11 10:00,27.354
2019-01-11 15:00,2019-01-11 11:00,28.186
2019-01-11 16:00,2019-01-11 12:00,28.668
2019-01-11 17:00,2019-01-11 13:00,28.838
2019-01-11 18:00,2019-01-11 14:00,28.745
2019-01-11 19:00,2019-01-11 15:00,28.256
2019-01-11 20:00,2019-01-11 16:00,27.680
2019-01-11 21:00,2019-01-11 17:00,27.066
2019-01-11 22:00,2019-01-11 18:00,26.277
2019-01-11 23:00,2019-01-11 19:00,25.323
2019-01-12 00:00,2019-01-11 20:00,24.845
2019-01-12 01:00,2019-01-11 21:00,24.636
2019-01-12 02:00,2019-01-11 22:00,24.464
2019-01-12 03:00,2019-01-11 23:00,24.341
2019-01-12 04:00,2019-01-12 00:00,24.120
2019-01-12 05:00,2019-01-12 01:00,23.908
2019-01-12 06:00,2019-01-12 02:00,23.723
2019-01-12 07:00,2019-01-12 03:00,23.538
2019-01-12 08:00,2019-01-12 04:00,23.278
2019-01-12 09:00,2019-01-12 05:00,23.179
2019-01-12 10:00,2019-01-12 06:00,23.262
2019-01-12 11:00,2019-01-12 07:00,23.731
2019-01-12 12:00,2019-01-12 08:00,24.145
2019-01-12 13:00,2019-01-12 09:00,24.652
2019-01-12 14:00,2019-01-12 10:00,24.960
2019-01-12 15:00,2019-01-12 11:00,25.228
2019-01-12 16:00,2019-01-12 12:00,25.491
2019-01-12 17:00,2019-01-12 13:00,25.601
2019-01-12 18:00,2019-01-12 14:00,25.485
2019-01-12 19:00,2019-01-12 15:00,25.307
2019-01-12 20:00,2019-01-12 16:00,25.026
2019-01-12 21:00,2019-01-12 17:00,24.669
2019-01-12 22:00,2019-01-12 18:00,24.199
2019-01-12 23:00,2019-01-12 19:00,23.578
2019-01-13 00:00,2019-01-12 20:00,23.194
2019-01-13 01:00,2019-01-12 21:00,22.948
2019-01-13 02:00,2019-01-12 22:00,22.823
2019-01-13 03:00,2019-01-12 23:00,22.577
2019-01-13 04:00,2019-01-13 00:00,22.234
2019-01-13 05:00,2019-01-13 01:00,21.928
2019-01-13 06:00,2019-01-13 02:00,21.674
2019-01-13 07:00,2019-01-13 03:00,21.566
2019-01-13 08:00,2019-01-13 04:00,21.532
2019-01-13 09:00,2019-01-13 05:00,21.421
2019-01-13 10:00,2019-01-13 06:00,21.505
2019-01-13 11:00,2019-01-13 07:00,22.466
2019-01-13 12:00,2019-01-13 08:00,23.628
2019-01-13 13:00,2019-01-13 09:00,24.483
2019-01-13 14:00,2019-01-13 10:00,25.708
2019-01-13 15:00,2019-01-13 11:00,26.765
2019-01-13 16:00,2019-01-13 12:00,27.241
2019-01-13 17:00,2019-01-13 13:00,27.440
2019-01-13 18:00,2019-01-13 14:00,27.417
2019-01-13 19:00,2019-01-13 15:00,27.098
2019-01-13 20:00,2019-01-13 16:00,26.562
2019-01-13 21:00,2019-01-13 17:00,25.963
2019-01-13 22:00,2019-01-13 18:00,25.079
2019-01-13 23:00,2019-01-13 19:00,24.108
2019-01-14 00:00,2019-01-13 20:00,23.538
2019-01-14 01:00,2019-01-13 21:00,23.152
2019-01-14 02:00,2019-01-13 22:00,22.786
2019-01-14 03:00,2019-01-13 23:00,22.450
2019-01-14 04:00,2019-01-14 00:00,22.116
2019-01-14 05:00,2019-01-14 01:00,21.887
2019-01-14 06:00,2019-01-14 02:00,21.707
2019-01-14 07:00,2019-01-14 03:00,21.561
2019-01-14 08:00,2019-01-14 04:00,21.447
2019-01-14 09:00,2019-01-14 05:00,21.321
2019-01-14 10:00,2019-01-14 06:00,21.402
2019-01-14 11:00,2019-01-14 07:00,23.084
2019-01-14 12:00,2019-01-14 08:00,24.881
2019-01-14 13:00,2019-01-14 09:00,26.338
