# Renewables.ninja Weather (Point API) - -13.768, -68.126 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-13.7676196", "lon": "-68.1258503", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.188
2019-01-01 01:00,2018-12-31 21:00,23.945
2019-01-01 02:00,2018-12-31 22:00,23.709
2019-01-01 03:00,2018-12-31 23:00,23.509
2019-01-01 04:00,2019-01-01 00:00,23.378
2019-01-01 05:00,2019-01-01 01:00,23.222
2019-01-01 06:00,2019-01-01 02:00,22.989
2019-01-01 07:00,2019-01-01 03:00,22.730
2019-01-01 08:00,2019-01-01 04:00,22.460
2019-01-01 09:00,2019-01-01 05:00,22.196
2019-01-01 10:00,2019-01-01 06:00,22.167
2019-01-01 11:00,2019-01-01 07:00,22.893
2019-01-01 12:00,2019-01-01 08:00,23.910
2019-01-01 13:00,2019-01-01 09:00,25.293
2019-01-01 14:00,2019-01-01 10:00,26.446
2019-01-01 15:00,2019-01-01 11:00,27.183
2019-01-01 16:00,2019-01-01 12:00,27.662
2019-01-01 17:00,2019-01-01 13:00,27.792
2019-01-01 18:00,2019-01-01 14:00,27.698
2019-01-01 19:00,2019-01-01 15:00,27.481
2019-01-01 20:00,2019-01-01 16:00,27.168
2019-01-01 21:00,2019-01-01 17:00,26.533
2019-01-01 22:00,2019-01-01 18:00,25.588
2019-01-01 23:00,2019-01-01 19:00,24.642
2019-01-02 00:00,2019-01-01 20:00,24.108
2019-01-02 01:00,2019-01-01 21:00,23.622
2019-01-02 02:00,2019-01-01 22:00,23.275
2019-01-02 03:00,2019-01-01 23:00,23.037
2019-01-02 04:00,2019-01-02 00:00,22.820
2019-01-02 05:00,2019-01-02 01:00,22.569
2019-01-02 06:00,2019-01-02 02:00,22.327
2019-01-02 07:00,2019-01-02 03:00,22.144
2019-01-02 08:00,2019-01-02 04:00,22.157
2019-01-02 09:00,2019-01-02 05:00,22.092
2019-01-02 10:00,2019-01-02 06:00,22.130
2019-01-02 11:00,2019-01-02 07:00,23.132
2019-01-02 12:00,2019-01-02 08:00,24.312
2019-01-02 13:00,2019-01-02 09:00,25.401
2019-01-02 14:00,2019-01-02 10:00,26.302
2019-01-02 15:00,2019-01-02 11:00,27.016
2019-01-02 16:00,2019-01-02 12:00,27.406
2019-01-02 17:00,2019-01-02 13:00,27.534
2019-01-02 18:00,2019-01-02 14:00,27.482
2019-01-02 19:00,2019-01-02 15:00,27.212
2019-01-02 20:00,2019-01-02 16:00,26.808
2019-01-02 21:00,2019-01-02 17:00,26.180
2019-01-02 22:00,2019-01-02 18:00,25.301
2019-01-02 23:00,2019-01-02 19:00,24.361
2019-01-03 00:00,2019-01-02 20:00,23.956
2019-01-03 01:00,2019-01-02 21:00,23.856
2019-01-03 02:00,2019-01-02 22:00,23.698
2019-01-03 03:00,2019-01-02 23:00,23.431
2019-01-03 04:00,2019-01-03 00:00,23.175
2019-01-03 05:00,2019-01-03 01:00,22.946
2019-01-03 06:00,2019-01-03 02:00,22.792
2019-01-03 07:00,2019-01-03 03:00,22.830
2019-01-03 08:00,2019-01-03 04:00,22.798
2019-01-03 09:00,2019-01-03 05:00,22.713
2019-01-03 10:00,2019-01-03 06:00,22.678
2019-01-03 11:00,2019-01-03 07:00,23.086
2019-01-03 12:00,2019-01-03 08:00,23.658
2019-01-03 13:00,2019-01-03 09:00,24.283
2019-01-03 14:00,2019-01-03 10:00,25.122
2019-01-03 15:00,2019-01-03 11:00,26.076
2019-01-03 16:00,2019-01-03 12:00,26.715
2019-01-03 17:00,2019-01-03 13:00,26.933
2019-01-03 18:00,2019-01-03 14:00,26.997
2019-01-03 19:00,2019-01-03 15:00,26.816
2019-01-03 20:00,2019-01-03 16:00,26.359
2019-01-03 21:00,2019-01-03 17:00,25.701
2019-01-03 22:00,2019-01-03 18:00,24.923
2019-01-03 23:00,2019-01-03 19:00,24.271
2019-01-04 00:00,2019-01-03 20:00,23.999
2019-01-04 01:00,2019-01-03 21:00,23.805
2019-01-04 02:00,2019-01-03 22:00,23.465
2019-01-04 03:00,2019-01-03 23:00,23.148
2019-01-04 04:00,2019-01-04 00:00,22.963
2019-01-04 05:00,2019-01-04 01:00,22.793
2019-01-04 06:00,2019-01-04 02:00,22.626
2019-01-04 07:00,2019-01-04 03:00,22.497
2019-01-04 08:00,2019-01-04 04:00,22.397
2019-01-04 09:00,2019-01-04 05:00,22.418
2019-01-04 10:00,2019-01-04 06:00,22.350
2019-01-04 11:00,2019-01-04 07:00,22.670
2019-01-04 12:00,2019-01-04 08:00,23.273
2019-01-04 13:00,2019-01-04 09:00,24.015
2019-01-04 14:00,2019-01-04 10:00,24.579
2019-01-04 15:00,2019-01-04 11:00,24.635
2019-01-04 16:00,2019-01-04 12:00,24.601
2019-01-04 17:00,2019-01-04 13:00,24.701
2019-01-04 18:00,2019-01-04 14:00,24.753
2019-01-04 19:00,2019-01-04 15:00,24.701
