# Renewables.ninja Weather (Point API) - -12.164, -67.362 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-12.1642056", "lon": "-67.3623855", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,25.239
2019-01-01 01:00,2018-12-31 21:00,24.981
2019-01-01 02:00,2018-12-31 22:00,24.733
2019-01-01 03:00,2018-12-31 23:00,24.475
2019-01-01 04:00,2019-01-01 00:00,24.186
2019-01-01 05:00,2019-01-01 01:00,23.915
2019-01-01 06:00,2019-01-01 02:00,23.674
2019-01-01 07:00,2019-01-01 03:00,23.486
2019-01-01 08:00,2019-01-01 04:00,23.344
2019-01-01 09:00,2019-01-01 05:00,23.259
2019-01-01 10:00,2019-01-01 06:00,23.291
2019-01-01 11:00,2019-01-01 07:00,23.802
2019-01-01 12:00,2019-01-01 08:00,24.621
2019-01-01 13:00,2019-01-01 09:00,25.496
2019-01-01 14:00,2019-01-01 10:00,26.359
2019-01-01 15:00,2019-01-01 11:00,27.240
2019-01-01 16:00,2019-01-01 12:00,27.941
2019-01-01 17:00,2019-01-01 13:00,28.383
2019-01-01 18:00,2019-01-01 14:00,28.485
2019-01-01 19:00,2019-01-01 15:00,28.291
2019-01-01 20:00,2019-01-01 16:00,27.879
2019-01-01 21:00,2019-01-01 17:00,27.337
2019-01-01 22:00,2019-01-01 18:00,26.412
2019-01-01 23:00,2019-01-01 19:00,25.335
2019-01-02 00:00,2019-01-01 20:00,24.792
2019-01-02 01:00,2019-01-01 21:00,24.452
2019-01-02 02:00,2019-01-01 22:00,24.202
2019-01-02 03:00,2019-01-01 23:00,24.012
2019-01-02 04:00,2019-01-02 00:00,24.018
2019-01-02 05:00,2019-01-02 01:00,23.936
2019-01-02 06:00,2019-01-02 02:00,23.790
2019-01-02 07:00,2019-01-02 03:00,23.636
2019-01-02 08:00,2019-01-02 04:00,23.482
2019-01-02 09:00,2019-01-02 05:00,23.340
2019-01-02 10:00,2019-01-02 06:00,23.429
2019-01-02 11:00,2019-01-02 07:00,24.176
2019-01-02 12:00,2019-01-02 08:00,25.242
2019-01-02 13:00,2019-01-02 09:00,26.315
2019-01-02 14:00,2019-01-02 10:00,27.667
2019-01-02 15:00,2019-01-02 11:00,28.663
2019-01-02 16:00,2019-01-02 12:00,29.166
2019-01-02 17:00,2019-01-02 13:00,29.352
2019-01-02 18:00,2019-01-02 14:00,29.251
2019-01-02 19:00,2019-01-02 15:00,28.906
2019-01-02 20:00,2019-01-02 16:00,28.455
2019-01-02 21:00,2019-01-02 17:00,27.840
2019-01-02 22:00,2019-01-02 18:00,26.930
2019-01-02 23:00,2019-01-02 19:00,25.992
2019-01-03 00:00,2019-01-02 20:00,25.605
2019-01-03 01:00,2019-01-02 21:00,25.350
2019-01-03 02:00,2019-01-02 22:00,25.048
