# Renewables.ninja Weather (Point API) - -11.082, -66.174 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-11.082336", "lon": "-66.1743252", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,25.002
2019-01-01 01:00,2018-12-31 21:00,24.855
2019-01-01 02:00,2018-12-31 22:00,24.741
2019-01-01 03:00,2018-12-31 23:00,24.568
2019-01-01 04:00,2019-01-01 00:00,24.372
2019-01-01 05:00,2019-01-01 01:00,24.141
2019-01-01 06:00,2019-01-01 02:00,23.950
2019-01-01 07:00,2019-01-01 03:00,23.808
2019-01-01 08:00,2019-01-01 04:00,23.596
2019-01-01 09:00,2019-01-01 05:00,23.330
2019-01-01 10:00,2019-01-01 06:00,23.552
2019-01-01 11:00,2019-01-01 07:00,24.178
2019-01-01 12:00,2019-01-01 08:00,24.826
2019-01-01 13:00,2019-01-01 09:00,25.621
2019-01-01 14:00,2019-01-01 10:00,26.115
2019-01-01 15:00,2019-01-01 11:00,26.486
2019-01-01 16:00,2019-01-01 12:00,26.761
2019-01-01 17:00,2019-01-01 13:00,26.943
2019-01-01 18:00,2019-01-01 14:00,27.049
2019-01-01 19:00,2019-01-01 15:00,27.063
2019-01-01 20:00,2019-01-01 16:00,26.958
2019-01-01 21:00,2019-01-01 17:00,26.621
2019-01-01 22:00,2019-01-01 18:00,25.949
2019-01-01 23:00,2019-01-01 19:00,25.126
2019-01-02 00:00,2019-01-01 20:00,24.757
2019-01-02 01:00,2019-01-01 21:00,24.579
2019-01-02 02:00,2019-01-01 22:00,24.463
2019-01-02 03:00,2019-01-01 23:00,24.337
2019-01-02 04:00,2019-01-02 00:00,24.183
2019-01-02 05:00,2019-01-02 01:00,24.050
2019-01-02 06:00,2019-01-02 02:00,23.941
2019-01-02 07:00,2019-01-02 03:00,23.840
2019-01-02 08:00,2019-01-02 04:00,23.706
2019-01-02 09:00,2019-01-02 05:00,23.603
2019-01-02 10:00,2019-01-02 06:00,23.634
2019-01-02 11:00,2019-01-02 07:00,24.145
2019-01-02 12:00,2019-01-02 08:00,25.000
2019-01-02 13:00,2019-01-02 09:00,25.967
2019-01-02 14:00,2019-01-02 10:00,26.851
2019-01-02 15:00,2019-01-02 11:00,28.104
2019-01-02 16:00,2019-01-02 12:00,28.840
2019-01-02 17:00,2019-01-02 13:00,29.218
2019-01-02 18:00,2019-01-02 14:00,29.312
2019-01-02 19:00,2019-01-02 15:00,29.109
2019-01-02 20:00,2019-01-02 16:00,28.699
2019-01-02 21:00,2019-01-02 17:00,28.081
2019-01-02 22:00,2019-01-02 18:00,27.099
2019-01-02 23:00,2019-01-02 19:00,26.029
2019-01-03 00:00,2019-01-02 20:00,25.415
2019-01-03 01:00,2019-01-02 21:00,25.038
2019-01-03 02:00,2019-01-02 22:00,24.843
2019-01-03 03:00,2019-01-02 23:00,24.709
2019-01-03 04:00,2019-01-03 00:00,24.548
2019-01-03 05:00,2019-01-03 01:00,24.299
2019-01-03 06:00,2019-01-03 02:00,24.064
2019-01-03 07:00,2019-01-03 03:00,23.823
2019-01-03 08:00,2019-01-03 04:00,23.617
2019-01-03 09:00,2019-01-03 05:00,23.501
2019-01-03 10:00,2019-01-03 06:00,23.664
2019-01-03 11:00,2019-01-03 07:00,24.803
2019-01-03 12:00,2019-01-03 08:00,25.889
2019-01-03 13:00,2019-01-03 09:00,26.784
2019-01-03 14:00,2019-01-03 10:00,27.722
2019-01-03 15:00,2019-01-03 11:00,28.505
2019-01-03 16:00,2019-01-03 12:00,28.984
2019-01-03 17:00,2019-01-03 13:00,29.099
2019-01-03 18:00,2019-01-03 14:00,28.941
2019-01-03 19:00,2019-01-03 15:00,28.571
2019-01-03 20:00,2019-01-03 16:00,28.102
2019-01-03 21:00,2019-01-03 17:00,27.546
2019-01-03 22:00,2019-01-03 18:00,26.781
2019-01-03 23:00,2019-01-03 19:00,26.007
2019-01-04 00:00,2019-01-03 20:00,25.758
2019-01-04 01:00,2019-01-03 21:00,25.537
2019-01-04 02:00,2019-01-03 22:00,25.267
2019-01-04 03:00,2019-01-03 23:00,24.985
2019-01-04 04:00,2019-01-04 00:00,24.716
2019-01-04 05:00,2019-01-04 01:00,24.525
2019-01-04 06:00,2019-01-04 02:00,24.323
2019-01-04 07:00,2019-01-04 03:00,24.172
2019-01-04 08:00,2019-01-04 04:00,24.075
2019-01-04 09:00,2019-01-04 05:00,24.078
2019-01-04 10:00,2019-01-04 06:00,24.212
2019-01-04 11:00,2019-01-04 07:00,24.736
2019-01-04 12:00,2019-01-04 08:00,25.426
2019-01-04 13:00,2019-01-04 09:00,26.146
2019-01-04 14:00,2019-01-04 10:00,26.551
2019-01-04 15:00,2019-01-04 11:00,27.029
2019-01-04 16:00,2019-01-04 12:00,27.310
2019-01-04 17:00,2019-01-04 13:00,27.324
2019-01-04 18:00,2019-01-04 14:00,27.213
2019-01-04 19:00,2019-01-04 15:00,27.027
2019-01-04 20:00,2019-01-04 16:00,26.837
2019-01-04 21:00,2019-01-04 17:00,26.629
2019-01-04 22:00,2019-01-04 18:00,26.231
2019-01-04 23:00,2019-01-04 19:00,25.607
2019-01-05 00:00,2019-01-04 20:00,25.017
2019-01-05 01:00,2019-01-04 21:00,24.651
2019-01-05 02:00,2019-01-04 22:00,24.610
2019-01-05 03:00,2019-01-04 23:00,24.533
2019-01-05 04:00,2019-01-05 00:00,24.362
2019-01-05 05:00,2019-01-05 01:00,24.163
2019-01-05 06:00,2019-01-05 02:00,23.995
2019-01-05 07:00,2019-01-05 03:00,23.817
2019-01-05 08:00,2019-01-05 04:00,23.622
2019-01-05 09:00,2019-01-05 05:00,23.385
