# Renewables.ninja Weather (Point API) - -11.105, -67.557 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-11.1049143", "lon": "-67.556766", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.865
2019-01-01 01:00,2018-12-31 21:00,24.372
2019-01-01 02:00,2018-12-31 22:00,24.024
2019-01-01 03:00,2018-12-31 23:00,23.795
2019-01-01 04:00,2019-01-01 00:00,23.562
2019-01-01 05:00,2019-01-01 01:00,23.335
2019-01-01 06:00,2019-01-01 02:00,23.116
2019-01-01 07:00,2019-01-01 03:00,22.911
2019-01-01 08:00,2019-01-01 04:00,22.759
2019-01-01 09:00,2019-01-01 05:00,22.677
2019-01-01 10:00,2019-01-01 06:00,22.831
2019-01-01 11:00,2019-01-01 07:00,23.446
2019-01-01 12:00,2019-01-01 08:00,24.268
2019-01-01 13:00,2019-01-01 09:00,25.207
2019-01-01 14:00,2019-01-01 10:00,26.150
2019-01-01 15:00,2019-01-01 11:00,27.051
2019-01-01 16:00,2019-01-01 12:00,27.668
2019-01-01 17:00,2019-01-01 13:00,27.961
2019-01-01 18:00,2019-01-01 14:00,27.973
2019-01-01 19:00,2019-01-01 15:00,27.787
2019-01-01 20:00,2019-01-01 16:00,27.420
2019-01-01 21:00,2019-01-01 17:00,26.873
2019-01-01 22:00,2019-01-01 18:00,26.094
2019-01-01 23:00,2019-01-01 19:00,25.220
2019-01-02 00:00,2019-01-01 20:00,24.867
2019-01-02 01:00,2019-01-01 21:00,24.639
2019-01-02 02:00,2019-01-01 22:00,24.445
2019-01-02 03:00,2019-01-01 23:00,24.302
2019-01-02 04:00,2019-01-02 00:00,24.224
2019-01-02 05:00,2019-01-02 01:00,24.077
2019-01-02 06:00,2019-01-02 02:00,23.858
2019-01-02 07:00,2019-01-02 03:00,23.621
2019-01-02 08:00,2019-01-02 04:00,23.419
2019-01-02 09:00,2019-01-02 05:00,23.231
2019-01-02 10:00,2019-01-02 06:00,23.198
2019-01-02 11:00,2019-01-02 07:00,23.951
2019-01-02 12:00,2019-01-02 08:00,25.075
2019-01-02 13:00,2019-01-02 09:00,26.319
2019-01-02 14:00,2019-01-02 10:00,27.981
2019-01-02 15:00,2019-01-02 11:00,29.224
2019-01-02 16:00,2019-01-02 12:00,29.982
2019-01-02 17:00,2019-01-02 13:00,30.387
2019-01-02 18:00,2019-01-02 14:00,30.434
2019-01-02 19:00,2019-01-02 15:00,30.099
2019-01-02 20:00,2019-01-02 16:00,29.522
2019-01-02 21:00,2019-01-02 17:00,28.791
2019-01-02 22:00,2019-01-02 18:00,27.566
2019-01-02 23:00,2019-01-02 19:00,26.304
2019-01-03 00:00,2019-01-02 20:00,25.704
2019-01-03 01:00,2019-01-02 21:00,25.300
2019-01-03 02:00,2019-01-02 22:00,24.925
2019-01-03 03:00,2019-01-02 23:00,24.617
2019-01-03 04:00,2019-01-03 00:00,24.313
2019-01-03 05:00,2019-01-03 01:00,23.998
2019-01-03 06:00,2019-01-03 02:00,23.704
2019-01-03 07:00,2019-01-03 03:00,23.499
2019-01-03 08:00,2019-01-03 04:00,23.322
2019-01-03 09:00,2019-01-03 05:00,23.151
2019-01-03 10:00,2019-01-03 06:00,23.191
2019-01-03 11:00,2019-01-03 07:00,24.098
2019-01-03 12:00,2019-01-03 08:00,25.384
2019-01-03 13:00,2019-01-03 09:00,26.657
2019-01-03 14:00,2019-01-03 10:00,28.149
2019-01-03 15:00,2019-01-03 11:00,28.998
2019-01-03 16:00,2019-01-03 12:00,29.618
2019-01-03 17:00,2019-01-03 13:00,30.059
2019-01-03 18:00,2019-01-03 14:00,30.170
2019-01-03 19:00,2019-01-03 15:00,29.899
2019-01-03 20:00,2019-01-03 16:00,29.361
2019-01-03 21:00,2019-01-03 17:00,28.620
2019-01-03 22:00,2019-01-03 18:00,27.589
2019-01-03 23:00,2019-01-03 19:00,26.539
2019-01-04 00:00,2019-01-03 20:00,26.060
2019-01-04 01:00,2019-01-03 21:00,25.841
2019-01-04 02:00,2019-01-03 22:00,25.591
2019-01-04 03:00,2019-01-03 23:00,25.242
