# Renewables.ninja Weather (Point API) - -14.295, -67.336 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-14.2952193", "lon": "-67.335855", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,25.583
2019-01-01 01:00,2018-12-31 21:00,25.178
2019-01-01 02:00,2018-12-31 22:00,24.887
2019-01-01 03:00,2018-12-31 23:00,24.650
2019-01-01 04:00,2019-01-01 00:00,24.485
2019-01-01 05:00,2019-01-01 01:00,24.372
2019-01-01 06:00,2019-01-01 02:00,24.208
2019-01-01 07:00,2019-01-01 03:00,24.009
2019-01-01 08:00,2019-01-01 04:00,23.796
2019-01-01 09:00,2019-01-01 05:00,23.607
2019-01-01 10:00,2019-01-01 06:00,23.633
2019-01-01 11:00,2019-01-01 07:00,24.324
2019-01-01 12:00,2019-01-01 08:00,25.345
2019-01-01 13:00,2019-01-01 09:00,26.534
2019-01-01 14:00,2019-01-01 10:00,27.558
2019-01-01 15:00,2019-01-01 11:00,28.318
2019-01-01 16:00,2019-01-01 12:00,28.847
2019-01-01 17:00,2019-01-01 13:00,29.174
2019-01-01 18:00,2019-01-01 14:00,29.254
2019-01-01 19:00,2019-01-01 15:00,29.096
2019-01-01 20:00,2019-01-01 16:00,28.677
2019-01-01 21:00,2019-01-01 17:00,27.983
2019-01-01 22:00,2019-01-01 18:00,26.964
2019-01-01 23:00,2019-01-01 19:00,25.987
2019-01-02 00:00,2019-01-01 20:00,25.399
2019-01-02 01:00,2019-01-01 21:00,24.979
2019-01-02 02:00,2019-01-01 22:00,24.656
2019-01-02 03:00,2019-01-01 23:00,24.335
2019-01-02 04:00,2019-01-02 00:00,24.061
2019-01-02 05:00,2019-01-02 01:00,23.822
2019-01-02 06:00,2019-01-02 02:00,23.655
2019-01-02 07:00,2019-01-02 03:00,23.548
2019-01-02 08:00,2019-01-02 04:00,23.441
2019-01-02 09:00,2019-01-02 05:00,23.361
2019-01-02 10:00,2019-01-02 06:00,23.516
2019-01-02 11:00,2019-01-02 07:00,24.418
2019-01-02 12:00,2019-01-02 08:00,25.413
2019-01-02 13:00,2019-01-02 09:00,26.343
2019-01-02 14:00,2019-01-02 10:00,27.238
2019-01-02 15:00,2019-01-02 11:00,27.876
2019-01-02 16:00,2019-01-02 12:00,28.250
2019-01-02 17:00,2019-01-02 13:00,28.404
2019-01-02 18:00,2019-01-02 14:00,28.362
2019-01-02 19:00,2019-01-02 15:00,28.082
2019-01-02 20:00,2019-01-02 16:00,27.576
2019-01-02 21:00,2019-01-02 17:00,26.916
2019-01-02 22:00,2019-01-02 18:00,26.137
2019-01-02 23:00,2019-01-02 19:00,25.456
2019-01-03 00:00,2019-01-02 20:00,25.140
2019-01-03 01:00,2019-01-02 21:00,24.926
2019-01-03 02:00,2019-01-02 22:00,24.719
2019-01-03 03:00,2019-01-02 23:00,24.509
2019-01-03 04:00,2019-01-03 00:00,24.307
2019-01-03 05:00,2019-01-03 01:00,24.127
2019-01-03 06:00,2019-01-03 02:00,23.967
2019-01-03 07:00,2019-01-03 03:00,23.849
2019-01-03 08:00,2019-01-03 04:00,23.732
2019-01-03 09:00,2019-01-03 05:00,23.602
2019-01-03 10:00,2019-01-03 06:00,23.675
2019-01-03 11:00,2019-01-03 07:00,24.287
2019-01-03 12:00,2019-01-03 08:00,24.972
2019-01-03 13:00,2019-01-03 09:00,25.618
2019-01-03 14:00,2019-01-03 10:00,26.388
2019-01-03 15:00,2019-01-03 11:00,27.216
2019-01-03 16:00,2019-01-03 12:00,27.771
2019-01-03 17:00,2019-01-03 13:00,28.060
2019-01-03 18:00,2019-01-03 14:00,28.063
2019-01-03 19:00,2019-01-03 15:00,27.720
2019-01-03 20:00,2019-01-03 16:00,27.230
2019-01-03 21:00,2019-01-03 17:00,26.672
2019-01-03 22:00,2019-01-03 18:00,26.017
