# Renewables.ninja Weather (Point API) - -10.997, -66.075 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-10.997342", "lon": "-66.0751504", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.963
2019-01-01 01:00,2018-12-31 21:00,24.822
2019-01-01 02:00,2018-12-31 22:00,24.695
2019-01-01 03:00,2018-12-31 23:00,24.514
2019-01-01 04:00,2019-01-01 00:00,24.326
2019-01-01 05:00,2019-01-01 01:00,24.109
2019-01-01 06:00,2019-01-01 02:00,23.932
2019-01-01 07:00,2019-01-01 03:00,23.811
2019-01-01 08:00,2019-01-01 04:00,23.574
2019-01-01 09:00,2019-01-01 05:00,23.287
2019-01-01 10:00,2019-01-01 06:00,23.538
2019-01-01 11:00,2019-01-01 07:00,24.182
2019-01-01 12:00,2019-01-01 08:00,24.821
2019-01-01 13:00,2019-01-01 09:00,25.616
2019-01-01 14:00,2019-01-01 10:00,26.081
2019-01-01 15:00,2019-01-01 11:00,26.390
2019-01-01 16:00,2019-01-01 12:00,26.659
2019-01-01 17:00,2019-01-01 13:00,26.863
2019-01-01 18:00,2019-01-01 14:00,27.007
2019-01-01 19:00,2019-01-01 15:00,27.054
2019-01-01 20:00,2019-01-01 16:00,26.967
2019-01-01 21:00,2019-01-01 17:00,26.645
2019-01-01 22:00,2019-01-01 18:00,25.991
2019-01-01 23:00,2019-01-01 19:00,25.170
2019-01-02 00:00,2019-01-01 20:00,24.787
2019-01-02 01:00,2019-01-01 21:00,24.617
2019-01-02 02:00,2019-01-01 22:00,24.503
2019-01-02 03:00,2019-01-01 23:00,24.364
2019-01-02 04:00,2019-01-02 00:00,24.191
2019-01-02 05:00,2019-01-02 01:00,24.031
2019-01-02 06:00,2019-01-02 02:00,23.890
2019-01-02 07:00,2019-01-02 03:00,23.781
2019-01-02 08:00,2019-01-02 04:00,23.650
2019-01-02 09:00,2019-01-02 05:00,23.547
2019-01-02 10:00,2019-01-02 06:00,23.597
2019-01-02 11:00,2019-01-02 07:00,24.125
2019-01-02 12:00,2019-01-02 08:00,24.997
2019-01-02 13:00,2019-01-02 09:00,26.005
2019-01-02 14:00,2019-01-02 10:00,26.956
2019-01-02 15:00,2019-01-02 11:00,28.195
2019-01-02 16:00,2019-01-02 12:00,28.925
2019-01-02 17:00,2019-01-02 13:00,29.297
2019-01-02 18:00,2019-01-02 14:00,29.375
2019-01-02 19:00,2019-01-02 15:00,29.166
2019-01-02 20:00,2019-01-02 16:00,28.759
2019-01-02 21:00,2019-01-02 17:00,28.158
2019-01-02 22:00,2019-01-02 18:00,27.192
2019-01-02 23:00,2019-01-02 19:00,26.127
2019-01-03 00:00,2019-01-02 20:00,25.465
2019-01-03 01:00,2019-01-02 21:00,25.052
2019-01-03 02:00,2019-01-02 22:00,24.870
2019-01-03 03:00,2019-01-02 23:00,24.750
2019-01-03 04:00,2019-01-03 00:00,24.598
2019-01-03 05:00,2019-01-03 01:00,24.336
2019-01-03 06:00,2019-01-03 02:00,24.091
2019-01-03 07:00,2019-01-03 03:00,23.856
2019-01-03 08:00,2019-01-03 04:00,23.661
2019-01-03 09:00,2019-01-03 05:00,23.542
2019-01-03 10:00,2019-01-03 06:00,23.696
2019-01-03 11:00,2019-01-03 07:00,24.791
2019-01-03 12:00,2019-01-03 08:00,25.813
2019-01-03 13:00,2019-01-03 09:00,26.672
2019-01-03 14:00,2019-01-03 10:00,27.621
2019-01-03 15:00,2019-01-03 11:00,28.434
2019-01-03 16:00,2019-01-03 12:00,28.940
2019-01-03 17:00,2019-01-03 13:00,29.071
2019-01-03 18:00,2019-01-03 14:00,28.914
2019-01-03 19:00,2019-01-03 15:00,28.546
2019-01-03 20:00,2019-01-03 16:00,28.075
2019-01-03 21:00,2019-01-03 17:00,27.520
2019-01-03 22:00,2019-01-03 18:00,26.749
2019-01-03 23:00,2019-01-03 19:00,25.963
2019-01-04 00:00,2019-01-03 20:00,25.697
2019-01-04 01:00,2019-01-03 21:00,25.483
2019-01-04 02:00,2019-01-03 22:00,25.229
2019-01-04 03:00,2019-01-03 23:00,24.963
2019-01-04 04:00,2019-01-04 00:00,24.698
2019-01-04 05:00,2019-01-04 01:00,24.510
2019-01-04 06:00,2019-01-04 02:00,24.305
2019-01-04 07:00,2019-01-04 03:00,24.145
2019-01-04 08:00,2019-01-04 04:00,24.033
2019-01-04 09:00,2019-01-04 05:00,24.037
2019-01-04 10:00,2019-01-04 06:00,24.196
2019-01-04 11:00,2019-01-04 07:00,24.752
2019-01-04 12:00,2019-01-04 08:00,25.445
2019-01-04 13:00,2019-01-04 09:00,26.166
2019-01-04 14:00,2019-01-04 10:00,26.627
2019-01-04 15:00,2019-01-04 11:00,27.140
2019-01-04 16:00,2019-01-04 12:00,27.381
2019-01-04 17:00,2019-01-04 13:00,27.361
2019-01-04 18:00,2019-01-04 14:00,27.238
2019-01-04 19:00,2019-01-04 15:00,27.051
2019-01-04 20:00,2019-01-04 16:00,26.859
2019-01-04 21:00,2019-01-04 17:00,26.638
2019-01-04 22:00,2019-01-04 18:00,26.232
2019-01-04 23:00,2019-01-04 19:00,25.630
2019-01-05 00:00,2019-01-04 20:00,25.039
2019-01-05 01:00,2019-01-04 21:00,24.643
2019-01-05 02:00,2019-01-04 22:00,24.580
2019-01-05 03:00,2019-01-04 23:00,24.496
2019-01-05 04:00,2019-01-05 00:00,24.331
2019-01-05 05:00,2019-01-05 01:00,24.137
2019-01-05 06:00,2019-01-05 02:00,23.980
2019-01-05 07:00,2019-01-05 03:00,23.808
2019-01-05 08:00,2019-01-05 04:00,23.630
2019-01-05 09:00,2019-01-05 05:00,23.375
2019-01-05 10:00,2019-01-05 06:00,23.421
2019-01-05 11:00,2019-01-05 07:00,24.256
2019-01-05 12:00,2019-01-05 08:00,25.162
2019-01-05 13:00,2019-01-05 09:00,25.873
2019-01-05 14:00,2019-01-05 10:00,26.710
2019-01-05 15:00,2019-01-05 11:00,27.838
2019-01-05 16:00,2019-01-05 12:00,28.474
2019-01-05 17:00,2019-01-05 13:00,28.841
2019-01-05 18:00,2019-01-05 14:00,29.057
2019-01-05 19:00,2019-01-05 15:00,28.993
2019-01-05 20:00,2019-01-05 16:00,28.694
2019-01-05 21:00,2019-01-05 17:00,28.144
2019-01-05 22:00,2019-01-05 18:00,27.196
2019-01-05 23:00,2019-01-05 19:00,26.001
2019-01-06 00:00,2019-01-05 20:00,25.176
2019-01-06 01:00,2019-01-05 21:00,24.882
2019-01-06 02:00,2019-01-05 22:00,24.834
2019-01-06 03:00,2019-01-05 23:00,24.712
2019-01-06 04:00,2019-01-06 00:00,24.509
2019-01-06 05:00,2019-01-06 01:00,24.364
2019-01-06 06:00,2019-01-06 02:00,24.179
2019-01-06 07:00,2019-01-06 03:00,23.995
2019-01-06 08:00,2019-01-06 04:00,23.773
2019-01-06 09:00,2019-01-06 05:00,23.562
2019-01-06 10:00,2019-01-06 06:00,23.737
2019-01-06 11:00,2019-01-06 07:00,25.228
2019-01-06 12:00,2019-01-06 08:00,26.835
2019-01-06 13:00,2019-01-06 09:00,27.986
2019-01-06 14:00,2019-01-06 10:00,28.815
2019-01-06 15:00,2019-01-06 11:00,29.337
2019-01-06 16:00,2019-01-06 12:00,29.618
2019-01-06 17:00,2019-01-06 13:00,29.720
2019-01-06 18:00,2019-01-06 14:00,29.597
2019-01-06 19:00,2019-01-06 15:00,29.252
2019-01-06 20:00,2019-01-06 16:00,28.608
2019-01-06 21:00,2019-01-06 17:00,27.788
2019-01-06 22:00,2019-01-06 18:00,26.944
2019-01-06 23:00,2019-01-06 19:00,26.358
2019-01-07 00:00,2019-01-06 20:00,26.071
2019-01-07 01:00,2019-01-06 21:00,25.849
