# Renewables.ninja Weather (Point API) - -10.984, -68.088 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-10.9839631", "lon": "-68.0875716", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.854
2019-01-01 01:00,2018-12-31 21:00,24.354
2019-01-01 02:00,2018-12-31 22:00,23.939
2019-01-01 03:00,2018-12-31 23:00,23.632
2019-01-01 04:00,2019-01-01 00:00,23.313
2019-01-01 05:00,2019-01-01 01:00,23.076
2019-01-01 06:00,2019-01-01 02:00,22.937
2019-01-01 07:00,2019-01-01 03:00,22.813
2019-01-01 08:00,2019-01-01 04:00,22.687
2019-01-01 09:00,2019-01-01 05:00,22.569
2019-01-01 10:00,2019-01-01 06:00,22.644
2019-01-01 11:00,2019-01-01 07:00,23.375
2019-01-01 12:00,2019-01-01 08:00,24.200
2019-01-01 13:00,2019-01-01 09:00,25.231
2019-01-01 14:00,2019-01-01 10:00,26.325
2019-01-01 15:00,2019-01-01 11:00,27.102
2019-01-01 16:00,2019-01-01 12:00,27.679
2019-01-01 17:00,2019-01-01 13:00,28.047
2019-01-01 18:00,2019-01-01 14:00,28.187
2019-01-01 19:00,2019-01-01 15:00,28.074
2019-01-01 20:00,2019-01-01 16:00,27.769
2019-01-01 21:00,2019-01-01 17:00,27.191
2019-01-01 22:00,2019-01-01 18:00,26.279
2019-01-01 23:00,2019-01-01 19:00,25.255
2019-01-02 00:00,2019-01-01 20:00,24.759
2019-01-02 01:00,2019-01-01 21:00,24.454
2019-01-02 02:00,2019-01-01 22:00,24.226
2019-01-02 03:00,2019-01-01 23:00,24.022
2019-01-02 04:00,2019-01-02 00:00,23.888
2019-01-02 05:00,2019-01-02 01:00,23.743
2019-01-02 06:00,2019-01-02 02:00,23.548
2019-01-02 07:00,2019-01-02 03:00,23.347
2019-01-02 08:00,2019-01-02 04:00,23.162
2019-01-02 09:00,2019-01-02 05:00,22.985
2019-01-02 10:00,2019-01-02 06:00,22.964
2019-01-02 11:00,2019-01-02 07:00,24.262
2019-01-02 12:00,2019-01-02 08:00,25.816
2019-01-02 13:00,2019-01-02 09:00,27.073
2019-01-02 14:00,2019-01-02 10:00,28.426
2019-01-02 15:00,2019-01-02 11:00,29.481
2019-01-02 16:00,2019-01-02 12:00,30.240
2019-01-02 17:00,2019-01-02 13:00,30.447
2019-01-02 18:00,2019-01-02 14:00,30.344
2019-01-02 19:00,2019-01-02 15:00,29.999
2019-01-02 20:00,2019-01-02 16:00,29.458
2019-01-02 21:00,2019-01-02 17:00,28.816
2019-01-02 22:00,2019-01-02 18:00,27.650
2019-01-02 23:00,2019-01-02 19:00,26.250
2019-01-03 00:00,2019-01-02 20:00,25.600
2019-01-03 01:00,2019-01-02 21:00,25.287
2019-01-03 02:00,2019-01-02 22:00,24.870
2019-01-03 03:00,2019-01-02 23:00,24.559
2019-01-03 04:00,2019-01-03 00:00,24.277
2019-01-03 05:00,2019-01-03 01:00,23.984
2019-01-03 06:00,2019-01-03 02:00,23.662
2019-01-03 07:00,2019-01-03 03:00,23.383
2019-01-03 08:00,2019-01-03 04:00,23.174
2019-01-03 09:00,2019-01-03 05:00,23.003
2019-01-03 10:00,2019-01-03 06:00,23.038
2019-01-03 11:00,2019-01-03 07:00,23.983
2019-01-03 12:00,2019-01-03 08:00,25.200
2019-01-03 13:00,2019-01-03 09:00,26.278
2019-01-03 14:00,2019-01-03 10:00,27.695
2019-01-03 15:00,2019-01-03 11:00,28.607
2019-01-03 16:00,2019-01-03 12:00,29.276
2019-01-03 17:00,2019-01-03 13:00,29.961
2019-01-03 18:00,2019-01-03 14:00,30.294
2019-01-03 19:00,2019-01-03 15:00,30.151
2019-01-03 20:00,2019-01-03 16:00,29.531
2019-01-03 21:00,2019-01-03 17:00,28.705
2019-01-03 22:00,2019-01-03 18:00,27.870
2019-01-03 23:00,2019-01-03 19:00,26.782
2019-01-04 00:00,2019-01-03 20:00,26.084
2019-01-04 01:00,2019-01-03 21:00,25.883
2019-01-04 02:00,2019-01-03 22:00,25.764
2019-01-04 03:00,2019-01-03 23:00,25.262
2019-01-04 04:00,2019-01-04 00:00,24.745
2019-01-04 05:00,2019-01-04 01:00,24.413
2019-01-04 06:00,2019-01-04 02:00,24.192
2019-01-04 07:00,2019-01-04 03:00,23.955
2019-01-04 08:00,2019-01-04 04:00,23.748
2019-01-04 09:00,2019-01-04 05:00,23.561
2019-01-04 10:00,2019-01-04 06:00,23.601
2019-01-04 11:00,2019-01-04 07:00,24.488
2019-01-04 12:00,2019-01-04 08:00,25.374
2019-01-04 13:00,2019-01-04 09:00,25.887
2019-01-04 14:00,2019-01-04 10:00,26.439
2019-01-04 15:00,2019-01-04 11:00,27.077
2019-01-04 16:00,2019-01-04 12:00,27.421
2019-01-04 17:00,2019-01-04 13:00,27.448
2019-01-04 18:00,2019-01-04 14:00,27.326
2019-01-04 19:00,2019-01-04 15:00,27.066
2019-01-04 20:00,2019-01-04 16:00,26.747
2019-01-04 21:00,2019-01-04 17:00,26.289
2019-01-04 22:00,2019-01-04 18:00,25.799
2019-01-04 23:00,2019-01-04 19:00,25.069
2019-01-05 00:00,2019-01-04 20:00,24.485
2019-01-05 01:00,2019-01-04 21:00,24.357
2019-01-05 02:00,2019-01-04 22:00,24.198
2019-01-05 03:00,2019-01-04 23:00,24.042
2019-01-05 04:00,2019-01-05 00:00,23.861
2019-01-05 05:00,2019-01-05 01:00,23.706
2019-01-05 06:00,2019-01-05 02:00,23.579
2019-01-05 07:00,2019-01-05 03:00,23.383
2019-01-05 08:00,2019-01-05 04:00,23.198
2019-01-05 09:00,2019-01-05 05:00,23.043
2019-01-05 10:00,2019-01-05 06:00,23.038
2019-01-05 11:00,2019-01-05 07:00,23.728
2019-01-05 12:00,2019-01-05 08:00,24.728
2019-01-05 13:00,2019-01-05 09:00,25.812
2019-01-05 14:00,2019-01-05 10:00,26.702
2019-01-05 15:00,2019-01-05 11:00,28.017
2019-01-05 16:00,2019-01-05 12:00,28.851
2019-01-05 17:00,2019-01-05 13:00,29.382
2019-01-05 18:00,2019-01-05 14:00,29.641
2019-01-05 19:00,2019-01-05 15:00,29.594
2019-01-05 20:00,2019-01-05 16:00,29.200
2019-01-05 21:00,2019-01-05 17:00,28.515
2019-01-05 22:00,2019-01-05 18:00,27.380
2019-01-05 23:00,2019-01-05 19:00,26.297
2019-01-06 00:00,2019-01-05 20:00,25.997
2019-01-06 01:00,2019-01-05 21:00,25.621
2019-01-06 02:00,2019-01-05 22:00,25.050
2019-01-06 03:00,2019-01-05 23:00,24.573
2019-01-06 04:00,2019-01-06 00:00,24.261
2019-01-06 05:00,2019-01-06 01:00,24.019
2019-01-06 06:00,2019-01-06 02:00,23.792
2019-01-06 07:00,2019-01-06 03:00,23.604
2019-01-06 08:00,2019-01-06 04:00,23.441
2019-01-06 09:00,2019-01-06 05:00,23.274
2019-01-06 10:00,2019-01-06 06:00,23.272
2019-01-06 11:00,2019-01-06 07:00,24.421
2019-01-06 12:00,2019-01-06 08:00,25.927
2019-01-06 13:00,2019-01-06 09:00,27.385
2019-01-06 14:00,2019-01-06 10:00,28.686
2019-01-06 15:00,2019-01-06 11:00,29.764
2019-01-06 16:00,2019-01-06 12:00,30.459
2019-01-06 17:00,2019-01-06 13:00,30.754
2019-01-06 18:00,2019-01-06 14:00,30.712
2019-01-06 19:00,2019-01-06 15:00,30.348
2019-01-06 20:00,2019-01-06 16:00,29.725
2019-01-06 21:00,2019-01-06 17:00,28.817
2019-01-06 22:00,2019-01-06 18:00,27.618
2019-01-06 23:00,2019-01-06 19:00,26.534
2019-01-07 00:00,2019-01-06 20:00,25.838
2019-01-07 01:00,2019-01-06 21:00,25.344
2019-01-07 02:00,2019-01-06 22:00,24.968
2019-01-07 03:00,2019-01-06 23:00,24.682
2019-01-07 04:00,2019-01-07 00:00,24.453
2019-01-07 05:00,2019-01-07 01:00,24.250
2019-01-07 06:00,2019-01-07 02:00,24.083
2019-01-07 07:00,2019-01-07 03:00,23.912
2019-01-07 08:00,2019-01-07 04:00,23.764
2019-01-07 09:00,2019-01-07 05:00,23.683
2019-01-07 10:00,2019-01-07 06:00,23.680
2019-01-07 11:00,2019-01-07 07:00,24.074
2019-01-07 12:00,2019-01-07 08:00,24.771
2019-01-07 13:00,2019-01-07 09:00,25.379
2019-01-07 14:00,2019-01-07 10:00,26.079
2019-01-07 15:00,2019-01-07 11:00,26.657
2019-01-07 16:00,2019-01-07 12:00,27.032
2019-01-07 17:00,2019-01-07 13:00,27.141
2019-01-07 18:00,2019-01-07 14:00,27.146
2019-01-07 19:00,2019-01-07 15:00,26.947
2019-01-07 20:00,2019-01-07 16:00,26.657
2019-01-07 21:00,2019-01-07 17:00,26.281
2019-01-07 22:00,2019-01-07 18:00,25.732
2019-01-07 23:00,2019-01-07 19:00,25.133
2019-01-08 00:00,2019-01-07 20:00,24.965
2019-01-08 01:00,2019-01-07 21:00,24.752
2019-01-08 02:00,2019-01-07 22:00,24.563
2019-01-08 03:00,2019-01-07 23:00,24.407
2019-01-08 04:00,2019-01-08 00:00,24.248
2019-01-08 05:00,2019-01-08 01:00,24.128
2019-01-08 06:00,2019-01-08 02:00,24.004
2019-01-08 07:00,2019-01-08 03:00,23.836
2019-01-08 08:00,2019-01-08 04:00,23.564
2019-01-08 09:00,2019-01-08 05:00,23.263
2019-01-08 10:00,2019-01-08 06:00,23.080
2019-01-08 11:00,2019-01-08 07:00,23.486
2019-01-08 12:00,2019-01-08 08:00,24.199
2019-01-08 13:00,2019-01-08 09:00,24.527
2019-01-08 14:00,2019-01-08 10:00,25.295
2019-01-08 15:00,2019-01-08 11:00,26.530
2019-01-08 16:00,2019-01-08 12:00,27.323
2019-01-08 17:00,2019-01-08 13:00,27.571
2019-01-08 18:00,2019-01-08 14:00,27.572
2019-01-08 19:00,2019-01-08 15:00,27.173
2019-01-08 20:00,2019-01-08 16:00,26.609
2019-01-08 21:00,2019-01-08 17:00,26.060
2019-01-08 22:00,2019-01-08 18:00,25.501
2019-01-08 23:00,2019-01-08 19:00,24.986
2019-01-09 00:00,2019-01-08 20:00,24.590
2019-01-09 01:00,2019-01-08 21:00,24.256
2019-01-09 02:00,2019-01-08 22:00,24.007
2019-01-09 03:00,2019-01-08 23:00,23.804
2019-01-09 04:00,2019-01-09 00:00,23.607
2019-01-09 05:00,2019-01-09 01:00,23.392
2019-01-09 06:00,2019-01-09 02:00,23.170
2019-01-09 07:00,2019-01-09 03:00,22.972
2019-01-09 08:00,2019-01-09 04:00,22.802
2019-01-09 09:00,2019-01-09 05:00,22.652
2019-01-09 10:00,2019-01-09 06:00,22.570
2019-01-09 11:00,2019-01-09 07:00,22.922
2019-01-09 12:00,2019-01-09 08:00,23.544
2019-01-09 13:00,2019-01-09 09:00,24.207
2019-01-09 14:00,2019-01-09 10:00,24.792
2019-01-09 15:00,2019-01-09 11:00,26.251
2019-01-09 16:00,2019-01-09 12:00,27.451
2019-01-09 17:00,2019-01-09 13:00,27.966
2019-01-09 18:00,2019-01-09 14:00,28.153
2019-01-09 19:00,2019-01-09 15:00,28.115
2019-01-09 20:00,2019-01-09 16:00,27.838
2019-01-09 21:00,2019-01-09 17:00,27.247
2019-01-09 22:00,2019-01-09 18:00,26.241
2019-01-09 23:00,2019-01-09 19:00,25.441
2019-01-10 00:00,2019-01-09 20:00,24.885
2019-01-10 01:00,2019-01-09 21:00,24.300
2019-01-10 02:00,2019-01-09 22:00,23.828
2019-01-10 03:00,2019-01-09 23:00,23.438
2019-01-10 04:00,2019-01-10 00:00,23.114
2019-01-10 05:00,2019-01-10 01:00,23.081
2019-01-10 06:00,2019-01-10 02:00,22.938
2019-01-10 07:00,2019-01-10 03:00,22.823
2019-01-10 08:00,2019-01-10 04:00,22.742
2019-01-10 09:00,2019-01-10 05:00,22.608
2019-01-10 10:00,2019-01-10 06:00,22.647
2019-01-10 11:00,2019-01-10 07:00,23.276
2019-01-10 12:00,2019-01-10 08:00,24.222
2019-01-10 13:00,2019-01-10 09:00,25.079
2019-01-10 14:00,2019-01-10 10:00,25.910
2019-01-10 15:00,2019-01-10 11:00,26.775
2019-01-10 16:00,2019-01-10 12:00,27.686
2019-01-10 17:00,2019-01-10 13:00,28.375
2019-01-10 18:00,2019-01-10 14:00,28.684
2019-01-10 19:00,2019-01-10 15:00,28.626
2019-01-10 20:00,2019-01-10 16:00,28.254
2019-01-10 21:00,2019-01-10 17:00,27.641
2019-01-10 22:00,2019-01-10 18:00,26.581
2019-01-10 23:00,2019-01-10 19:00,25.572
2019-01-11 00:00,2019-01-10 20:00,24.892
2019-01-11 01:00,2019-01-10 21:00,24.447
2019-01-11 02:00,2019-01-10 22:00,24.127
2019-01-11 03:00,2019-01-10 23:00,23.828
2019-01-11 04:00,2019-01-11 00:00,23.555
2019-01-11 05:00,2019-01-11 01:00,23.277
2019-01-11 06:00,2019-01-11 02:00,22.950
2019-01-11 07:00,2019-01-11 03:00,22.641
2019-01-11 08:00,2019-01-11 04:00,22.409
2019-01-11 09:00,2019-01-11 05:00,22.210
2019-01-11 10:00,2019-01-11 06:00,22.214
2019-01-11 11:00,2019-01-11 07:00,23.654
2019-01-11 12:00,2019-01-11 08:00,25.240
2019-01-11 13:00,2019-01-11 09:00,26.575
2019-01-11 14:00,2019-01-11 10:00,27.908
2019-01-11 15:00,2019-01-11 11:00,28.936
2019-01-11 16:00,2019-01-11 12:00,29.465
