# Renewables.ninja Weather (Point API) - -13.413, -66.037 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-13.4130678", "lon": "-66.0371584", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,25.893
2019-01-01 01:00,2018-12-31 21:00,25.602
2019-01-01 02:00,2018-12-31 22:00,25.362
2019-01-01 03:00,2018-12-31 23:00,25.122
2019-01-01 04:00,2019-01-01 00:00,24.909
2019-01-01 05:00,2019-01-01 01:00,24.708
2019-01-01 06:00,2019-01-01 02:00,24.520
2019-01-01 07:00,2019-01-01 03:00,24.324
2019-01-01 08:00,2019-01-01 04:00,24.113
2019-01-01 09:00,2019-01-01 05:00,23.936
2019-01-01 10:00,2019-01-01 06:00,24.116
2019-01-01 11:00,2019-01-01 07:00,24.993
2019-01-01 12:00,2019-01-01 08:00,26.248
2019-01-01 13:00,2019-01-01 09:00,27.530
2019-01-01 14:00,2019-01-01 10:00,28.602
2019-01-01 15:00,2019-01-01 11:00,29.531
2019-01-01 16:00,2019-01-01 12:00,30.169
2019-01-01 17:00,2019-01-01 13:00,30.389
2019-01-01 18:00,2019-01-01 14:00,30.355
2019-01-01 19:00,2019-01-01 15:00,30.056
2019-01-01 20:00,2019-01-01 16:00,29.478
2019-01-01 21:00,2019-01-01 17:00,28.588
2019-01-01 22:00,2019-01-01 18:00,27.020
2019-01-01 23:00,2019-01-01 19:00,25.930
2019-01-02 00:00,2019-01-01 20:00,25.574
2019-01-02 01:00,2019-01-01 21:00,25.263
2019-01-02 02:00,2019-01-01 22:00,24.954
2019-01-02 03:00,2019-01-01 23:00,24.626
2019-01-02 04:00,2019-01-02 00:00,24.383
2019-01-02 05:00,2019-01-02 01:00,24.195
2019-01-02 06:00,2019-01-02 02:00,24.019
2019-01-02 07:00,2019-01-02 03:00,23.924
2019-01-02 08:00,2019-01-02 04:00,23.853
2019-01-02 09:00,2019-01-02 05:00,23.803
2019-01-02 10:00,2019-01-02 06:00,24.180
2019-01-02 11:00,2019-01-02 07:00,25.081
2019-01-02 12:00,2019-01-02 08:00,26.109
2019-01-02 13:00,2019-01-02 09:00,27.132
2019-01-02 14:00,2019-01-02 10:00,27.999
2019-01-02 15:00,2019-01-02 11:00,28.651
2019-01-02 16:00,2019-01-02 12:00,29.070
2019-01-02 17:00,2019-01-02 13:00,29.177
2019-01-02 18:00,2019-01-02 14:00,29.118
2019-01-02 19:00,2019-01-02 15:00,28.682
2019-01-02 20:00,2019-01-02 16:00,28.135
2019-01-02 21:00,2019-01-02 17:00,27.421
2019-01-02 22:00,2019-01-02 18:00,26.254
2019-01-02 23:00,2019-01-02 19:00,25.440
2019-01-03 00:00,2019-01-02 20:00,25.160
2019-01-03 01:00,2019-01-02 21:00,24.943
2019-01-03 02:00,2019-01-02 22:00,24.754
2019-01-03 03:00,2019-01-02 23:00,24.553
2019-01-03 04:00,2019-01-03 00:00,24.299
2019-01-03 05:00,2019-01-03 01:00,24.035
2019-01-03 06:00,2019-01-03 02:00,23.799
2019-01-03 07:00,2019-01-03 03:00,23.656
2019-01-03 08:00,2019-01-03 04:00,23.582
2019-01-03 09:00,2019-01-03 05:00,23.565
2019-01-03 10:00,2019-01-03 06:00,24.175
2019-01-03 11:00,2019-01-03 07:00,25.261
2019-01-03 12:00,2019-01-03 08:00,26.490
2019-01-03 13:00,2019-01-03 09:00,27.647
2019-01-03 14:00,2019-01-03 10:00,28.575
2019-01-03 15:00,2019-01-03 11:00,29.137
2019-01-03 16:00,2019-01-03 12:00,29.534
2019-01-03 17:00,2019-01-03 13:00,29.726
2019-01-03 18:00,2019-01-03 14:00,29.775
2019-01-03 19:00,2019-01-03 15:00,29.619
2019-01-03 20:00,2019-01-03 16:00,29.308
2019-01-03 21:00,2019-01-03 17:00,28.622
2019-01-03 22:00,2019-01-03 18:00,27.257
2019-01-03 23:00,2019-01-03 19:00,26.276
2019-01-04 00:00,2019-01-03 20:00,25.939
2019-01-04 01:00,2019-01-03 21:00,25.590
2019-01-04 02:00,2019-01-03 22:00,25.289
2019-01-04 03:00,2019-01-03 23:00,25.076
2019-01-04 04:00,2019-01-04 00:00,24.927
2019-01-04 05:00,2019-01-04 01:00,24.816
2019-01-04 06:00,2019-01-04 02:00,24.703
2019-01-04 07:00,2019-01-04 03:00,24.535
2019-01-04 08:00,2019-01-04 04:00,24.376
2019-01-04 09:00,2019-01-04 05:00,24.263
2019-01-04 10:00,2019-01-04 06:00,24.668
2019-01-04 11:00,2019-01-04 07:00,25.518
2019-01-04 12:00,2019-01-04 08:00,26.282
2019-01-04 13:00,2019-01-04 09:00,27.109
2019-01-04 14:00,2019-01-04 10:00,27.844
2019-01-04 15:00,2019-01-04 11:00,28.335
2019-01-04 16:00,2019-01-04 12:00,28.673
2019-01-04 17:00,2019-01-04 13:00,28.758
2019-01-04 18:00,2019-01-04 14:00,28.694
2019-01-04 19:00,2019-01-04 15:00,28.438
2019-01-04 20:00,2019-01-04 16:00,27.962
2019-01-04 21:00,2019-01-04 17:00,27.220
2019-01-04 22:00,2019-01-04 18:00,26.085
2019-01-04 23:00,2019-01-04 19:00,25.340
2019-01-05 00:00,2019-01-04 20:00,25.062
2019-01-05 01:00,2019-01-04 21:00,24.846
2019-01-05 02:00,2019-01-04 22:00,24.671
2019-01-05 03:00,2019-01-04 23:00,24.485
2019-01-05 04:00,2019-01-05 00:00,24.303
2019-01-05 05:00,2019-01-05 01:00,24.130
2019-01-05 06:00,2019-01-05 02:00,23.979
2019-01-05 07:00,2019-01-05 03:00,23.845
2019-01-05 08:00,2019-01-05 04:00,23.713
2019-01-05 09:00,2019-01-05 05:00,23.614
2019-01-05 10:00,2019-01-05 06:00,24.177
2019-01-05 11:00,2019-01-05 07:00,25.264
2019-01-05 12:00,2019-01-05 08:00,26.314
2019-01-05 13:00,2019-01-05 09:00,27.386
2019-01-05 14:00,2019-01-05 10:00,28.397
2019-01-05 15:00,2019-01-05 11:00,29.180
2019-01-05 16:00,2019-01-05 12:00,29.653
2019-01-05 17:00,2019-01-05 13:00,29.872
2019-01-05 18:00,2019-01-05 14:00,29.841
2019-01-05 19:00,2019-01-05 15:00,29.511
2019-01-05 20:00,2019-01-05 16:00,28.995
2019-01-05 21:00,2019-01-05 17:00,28.116
2019-01-05 22:00,2019-01-05 18:00,26.687
2019-01-05 23:00,2019-01-05 19:00,25.687
2019-01-06 00:00,2019-01-05 20:00,25.349
2019-01-06 01:00,2019-01-05 21:00,25.062
2019-01-06 02:00,2019-01-05 22:00,24.791
2019-01-06 03:00,2019-01-05 23:00,24.524
2019-01-06 04:00,2019-01-06 00:00,24.262
2019-01-06 05:00,2019-01-06 01:00,24.073
2019-01-06 06:00,2019-01-06 02:00,23.961
2019-01-06 07:00,2019-01-06 03:00,23.909
2019-01-06 08:00,2019-01-06 04:00,23.832
2019-01-06 09:00,2019-01-06 05:00,23.728
2019-01-06 10:00,2019-01-06 06:00,24.219
2019-01-06 11:00,2019-01-06 07:00,25.472
2019-01-06 12:00,2019-01-06 08:00,27.089
2019-01-06 13:00,2019-01-06 09:00,28.417
2019-01-06 14:00,2019-01-06 10:00,29.303
2019-01-06 15:00,2019-01-06 11:00,29.929
2019-01-06 16:00,2019-01-06 12:00,30.317
2019-01-06 17:00,2019-01-06 13:00,30.527
2019-01-06 18:00,2019-01-06 14:00,30.612
2019-01-06 19:00,2019-01-06 15:00,30.371
2019-01-06 20:00,2019-01-06 16:00,29.778
2019-01-06 21:00,2019-01-06 17:00,28.760
2019-01-06 22:00,2019-01-06 18:00,27.399
2019-01-06 23:00,2019-01-06 19:00,26.583
2019-01-07 00:00,2019-01-06 20:00,26.201
2019-01-07 01:00,2019-01-06 21:00,25.859
2019-01-07 02:00,2019-01-06 22:00,25.627
2019-01-07 03:00,2019-01-06 23:00,25.443
2019-01-07 04:00,2019-01-07 00:00,25.279
2019-01-07 05:00,2019-01-07 01:00,25.148
2019-01-07 06:00,2019-01-07 02:00,25.090
2019-01-07 07:00,2019-01-07 03:00,24.897
2019-01-07 08:00,2019-01-07 04:00,24.732
2019-01-07 09:00,2019-01-07 05:00,24.634
2019-01-07 10:00,2019-01-07 06:00,24.716
2019-01-07 11:00,2019-01-07 07:00,25.211
2019-01-07 12:00,2019-01-07 08:00,25.803
2019-01-07 13:00,2019-01-07 09:00,26.387
2019-01-07 14:00,2019-01-07 10:00,26.965
2019-01-07 15:00,2019-01-07 11:00,27.444
2019-01-07 16:00,2019-01-07 12:00,27.821
2019-01-07 17:00,2019-01-07 13:00,28.068
2019-01-07 18:00,2019-01-07 14:00,28.240
2019-01-07 19:00,2019-01-07 15:00,28.218
2019-01-07 20:00,2019-01-07 16:00,27.872
2019-01-07 21:00,2019-01-07 17:00,27.262
2019-01-07 22:00,2019-01-07 18:00,26.295
2019-01-07 23:00,2019-01-07 19:00,25.791
2019-01-08 00:00,2019-01-07 20:00,25.634
2019-01-08 01:00,2019-01-07 21:00,25.465
2019-01-08 02:00,2019-01-07 22:00,25.281
2019-01-08 03:00,2019-01-07 23:00,25.044
2019-01-08 04:00,2019-01-08 00:00,24.759
2019-01-08 05:00,2019-01-08 01:00,24.428
2019-01-08 06:00,2019-01-08 02:00,24.121
2019-01-08 07:00,2019-01-08 03:00,23.865
2019-01-08 08:00,2019-01-08 04:00,23.640
2019-01-08 09:00,2019-01-08 05:00,23.468
2019-01-08 10:00,2019-01-08 06:00,23.528
2019-01-08 11:00,2019-01-08 07:00,24.085
2019-01-08 12:00,2019-01-08 08:00,24.641
2019-01-08 13:00,2019-01-08 09:00,25.035
2019-01-08 14:00,2019-01-08 10:00,25.597
2019-01-08 15:00,2019-01-08 11:00,26.265
2019-01-08 16:00,2019-01-08 12:00,26.923
2019-01-08 17:00,2019-01-08 13:00,27.448
2019-01-08 18:00,2019-01-08 14:00,27.553
2019-01-08 19:00,2019-01-08 15:00,27.164
2019-01-08 20:00,2019-01-08 16:00,26.405
2019-01-08 21:00,2019-01-08 17:00,25.553
2019-01-08 22:00,2019-01-08 18:00,24.649
2019-01-08 23:00,2019-01-08 19:00,24.064
2019-01-09 00:00,2019-01-08 20:00,23.787
2019-01-09 01:00,2019-01-08 21:00,23.538
2019-01-09 02:00,2019-01-08 22:00,23.300
2019-01-09 03:00,2019-01-08 23:00,23.115
2019-01-09 04:00,2019-01-09 00:00,23.005
2019-01-09 05:00,2019-01-09 01:00,22.962
2019-01-09 06:00,2019-01-09 02:00,22.981
2019-01-09 07:00,2019-01-09 03:00,23.029
2019-01-09 08:00,2019-01-09 04:00,23.076
2019-01-09 09:00,2019-01-09 05:00,23.092
2019-01-09 10:00,2019-01-09 06:00,23.254
2019-01-09 11:00,2019-01-09 07:00,23.876
2019-01-09 12:00,2019-01-09 08:00,24.672
2019-01-09 13:00,2019-01-09 09:00,25.428
2019-01-09 14:00,2019-01-09 10:00,26.260
2019-01-09 15:00,2019-01-09 11:00,27.008
2019-01-09 16:00,2019-01-09 12:00,27.641
2019-01-09 17:00,2019-01-09 13:00,28.124
