# Renewables.ninja Weather (Point API) - -10.607, -67.453 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-10.6070391", "lon": "-67.4534825", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2018-12-31 20:00,24.800
2019-01-01 01:00,2018-12-31 21:00,24.403
2019-01-01 02:00,2018-12-31 22:00,24.166
2019-01-01 03:00,2018-12-31 23:00,23.943
2019-01-01 04:00,2019-01-01 00:00,23.688
2019-01-01 05:00,2019-01-01 01:00,23.452
2019-01-01 06:00,2019-01-01 02:00,23.248
2019-01-01 07:00,2019-01-01 03:00,23.088
2019-01-01 08:00,2019-01-01 04:00,22.976
2019-01-01 09:00,2019-01-01 05:00,22.759
2019-01-01 10:00,2019-01-01 06:00,22.711
2019-01-01 11:00,2019-01-01 07:00,23.713
2019-01-01 12:00,2019-01-01 08:00,24.721
2019-01-01 13:00,2019-01-01 09:00,25.734
2019-01-01 14:00,2019-01-01 10:00,26.591
2019-01-01 15:00,2019-01-01 11:00,27.520
2019-01-01 16:00,2019-01-01 12:00,28.280
2019-01-01 17:00,2019-01-01 13:00,28.739
2019-01-01 18:00,2019-01-01 14:00,28.926
2019-01-01 19:00,2019-01-01 15:00,28.862
2019-01-01 20:00,2019-01-01 16:00,28.505
2019-01-01 21:00,2019-01-01 17:00,27.792
2019-01-01 22:00,2019-01-01 18:00,26.824
2019-01-01 23:00,2019-01-01 19:00,25.851
2019-01-02 00:00,2019-01-01 20:00,25.379
2019-01-02 01:00,2019-01-01 21:00,25.054
2019-01-02 02:00,2019-01-01 22:00,24.786
2019-01-02 03:00,2019-01-01 23:00,24.541
2019-01-02 04:00,2019-01-02 00:00,24.296
2019-01-02 05:00,2019-01-02 01:00,24.096
2019-01-02 06:00,2019-01-02 02:00,23.893
2019-01-02 07:00,2019-01-02 03:00,23.654
2019-01-02 08:00,2019-01-02 04:00,23.456
2019-01-02 09:00,2019-01-02 05:00,23.293
2019-01-02 10:00,2019-01-02 06:00,23.264
2019-01-02 11:00,2019-01-02 07:00,24.071
2019-01-02 12:00,2019-01-02 08:00,25.313
2019-01-02 13:00,2019-01-02 09:00,26.692
2019-01-02 14:00,2019-01-02 10:00,28.419
2019-01-02 15:00,2019-01-02 11:00,29.854
2019-01-02 16:00,2019-01-02 12:00,30.784
2019-01-02 17:00,2019-01-02 13:00,31.188
2019-01-02 18:00,2019-01-02 14:00,31.170
2019-01-02 19:00,2019-01-02 15:00,30.736
2019-01-02 20:00,2019-01-02 16:00,29.970
2019-01-02 21:00,2019-01-02 17:00,29.061
2019-01-02 22:00,2019-01-02 18:00,27.729
2019-01-02 23:00,2019-01-02 19:00,26.412
2019-01-03 00:00,2019-01-02 20:00,25.648
2019-01-03 01:00,2019-01-02 21:00,25.101
2019-01-03 02:00,2019-01-02 22:00,24.693
2019-01-03 03:00,2019-01-02 23:00,24.381
2019-01-03 04:00,2019-01-03 00:00,24.116
2019-01-03 05:00,2019-01-03 01:00,23.863
2019-01-03 06:00,2019-01-03 02:00,23.623
2019-01-03 07:00,2019-01-03 03:00,23.436
2019-01-03 08:00,2019-01-03 04:00,23.254
2019-01-03 09:00,2019-01-03 05:00,23.099
2019-01-03 10:00,2019-01-03 06:00,23.196
2019-01-03 11:00,2019-01-03 07:00,24.222
2019-01-03 12:00,2019-01-03 08:00,25.559
2019-01-03 13:00,2019-01-03 09:00,26.973
2019-01-03 14:00,2019-01-03 10:00,28.748
2019-01-03 15:00,2019-01-03 11:00,29.928
2019-01-03 16:00,2019-01-03 12:00,30.615
2019-01-03 17:00,2019-01-03 13:00,30.949
2019-01-03 18:00,2019-01-03 14:00,31.088
2019-01-03 19:00,2019-01-03 15:00,30.852
2019-01-03 20:00,2019-01-03 16:00,30.181
2019-01-03 21:00,2019-01-03 17:00,29.292
2019-01-03 22:00,2019-01-03 18:00,28.045
2019-01-03 23:00,2019-01-03 19:00,26.841
2019-01-04 00:00,2019-01-03 20:00,26.305
2019-01-04 01:00,2019-01-03 21:00,25.883
2019-01-04 02:00,2019-01-03 22:00,25.493
2019-01-04 03:00,2019-01-03 23:00,25.150
2019-01-04 04:00,2019-01-04 00:00,24.831
2019-01-04 05:00,2019-01-04 01:00,24.561
2019-01-04 06:00,2019-01-04 02:00,24.361
2019-01-04 07:00,2019-01-04 03:00,24.149
2019-01-04 08:00,2019-01-04 04:00,23.953
2019-01-04 09:00,2019-01-04 05:00,23.795
2019-01-04 10:00,2019-01-04 06:00,23.808
2019-01-04 11:00,2019-01-04 07:00,24.459
2019-01-04 12:00,2019-01-04 08:00,25.136
2019-01-04 13:00,2019-01-04 09:00,25.836
2019-01-04 14:00,2019-01-04 10:00,26.184
2019-01-04 15:00,2019-01-04 11:00,26.602
2019-01-04 16:00,2019-01-04 12:00,27.048
2019-01-04 17:00,2019-01-04 13:00,27.403
2019-01-04 18:00,2019-01-04 14:00,27.525
2019-01-04 19:00,2019-01-04 15:00,27.406
2019-01-04 20:00,2019-01-04 16:00,27.077
2019-01-04 21:00,2019-01-04 17:00,26.583
2019-01-04 22:00,2019-01-04 18:00,25.979
2019-01-04 23:00,2019-01-04 19:00,25.258
2019-01-05 00:00,2019-01-04 20:00,24.681
2019-01-05 01:00,2019-01-04 21:00,24.502
2019-01-05 02:00,2019-01-04 22:00,24.418
2019-01-05 03:00,2019-01-04 23:00,24.280
2019-01-05 04:00,2019-01-05 00:00,24.031
2019-01-05 05:00,2019-01-05 01:00,23.818
2019-01-05 06:00,2019-01-05 02:00,23.626
2019-01-05 07:00,2019-01-05 03:00,23.398
2019-01-05 08:00,2019-01-05 04:00,23.185
2019-01-05 09:00,2019-01-05 05:00,22.960
2019-01-05 10:00,2019-01-05 06:00,22.989
2019-01-05 11:00,2019-01-05 07:00,23.874
2019-01-05 12:00,2019-01-05 08:00,24.859
2019-01-05 13:00,2019-01-05 09:00,25.702
2019-01-05 14:00,2019-01-05 10:00,26.804
2019-01-05 15:00,2019-01-05 11:00,28.375
2019-01-05 16:00,2019-01-05 12:00,29.238
2019-01-05 17:00,2019-01-05 13:00,29.729
2019-01-05 18:00,2019-01-05 14:00,29.892
2019-01-05 19:00,2019-01-05 15:00,29.822
2019-01-05 20:00,2019-01-05 16:00,29.451
2019-01-05 21:00,2019-01-05 17:00,28.681
2019-01-05 22:00,2019-01-05 18:00,27.458
2019-01-05 23:00,2019-01-05 19:00,26.099
2019-01-06 00:00,2019-01-05 20:00,25.415
2019-01-06 01:00,2019-01-05 21:00,25.063
2019-01-06 02:00,2019-01-05 22:00,24.724
2019-01-06 03:00,2019-01-05 23:00,24.348
2019-01-06 04:00,2019-01-06 00:00,24.111
2019-01-06 05:00,2019-01-06 01:00,23.966
2019-01-06 06:00,2019-01-06 02:00,23.802
2019-01-06 07:00,2019-01-06 03:00,23.626
2019-01-06 08:00,2019-01-06 04:00,23.434
2019-01-06 09:00,2019-01-06 05:00,23.270
2019-01-06 10:00,2019-01-06 06:00,23.352
2019-01-06 11:00,2019-01-06 07:00,24.694
2019-01-06 12:00,2019-01-06 08:00,26.031
2019-01-06 13:00,2019-01-06 09:00,27.042
2019-01-06 14:00,2019-01-06 10:00,28.036
2019-01-06 15:00,2019-01-06 11:00,29.008
2019-01-06 16:00,2019-01-06 12:00,29.782
2019-01-06 17:00,2019-01-06 13:00,30.245
2019-01-06 18:00,2019-01-06 14:00,30.298
2019-01-06 19:00,2019-01-06 15:00,30.031
2019-01-06 20:00,2019-01-06 16:00,29.491
2019-01-06 21:00,2019-01-06 17:00,28.584
2019-01-06 22:00,2019-01-06 18:00,27.312
2019-01-06 23:00,2019-01-06 19:00,26.122
2019-01-07 00:00,2019-01-06 20:00,25.399
2019-01-07 01:00,2019-01-06 21:00,24.998
2019-01-07 02:00,2019-01-06 22:00,24.763
2019-01-07 03:00,2019-01-06 23:00,24.567
2019-01-07 04:00,2019-01-07 00:00,24.401
2019-01-07 05:00,2019-01-07 01:00,24.241
2019-01-07 06:00,2019-01-07 02:00,24.104
2019-01-07 07:00,2019-01-07 03:00,23.957
2019-01-07 08:00,2019-01-07 04:00,23.806
2019-01-07 09:00,2019-01-07 05:00,23.693
2019-01-07 10:00,2019-01-07 06:00,23.664
2019-01-07 11:00,2019-01-07 07:00,24.062
2019-01-07 12:00,2019-01-07 08:00,24.806
2019-01-07 13:00,2019-01-07 09:00,25.586
2019-01-07 14:00,2019-01-07 10:00,26.083
2019-01-07 15:00,2019-01-07 11:00,27.024
2019-01-07 16:00,2019-01-07 12:00,27.939
2019-01-07 17:00,2019-01-07 13:00,28.418
2019-01-07 18:00,2019-01-07 14:00,28.673
2019-01-07 19:00,2019-01-07 15:00,28.572
2019-01-07 20:00,2019-01-07 16:00,28.100
2019-01-07 21:00,2019-01-07 17:00,27.340
2019-01-07 22:00,2019-01-07 18:00,26.396
2019-01-07 23:00,2019-01-07 19:00,25.605
