# Renewables.ninja Weather (Point API) - -9.939, -66.626 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-9.9385207", "lon": "-66.625699", "date_from": "2024-01-01", "date_to": "2024-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2024-01-01 00:00,2023-12-31 20:00,26.479
2024-01-01 01:00,2023-12-31 21:00,25.967
2024-01-01 02:00,2023-12-31 22:00,25.572
2024-01-01 03:00,2023-12-31 23:00,25.248
2024-01-01 04:00,2024-01-01 00:00,25.013
2024-01-01 05:00,2024-01-01 01:00,24.809
2024-01-01 06:00,2024-01-01 02:00,24.648
2024-01-01 07:00,2024-01-01 03:00,24.547
2024-01-01 08:00,2024-01-01 04:00,24.449
2024-01-01 09:00,2024-01-01 05:00,24.337
2024-01-01 10:00,2024-01-01 06:00,24.334
2024-01-01 11:00,2024-01-01 07:00,24.878
2024-01-01 12:00,2024-01-01 08:00,25.805
2024-01-01 13:00,2024-01-01 09:00,26.616
2024-01-01 14:00,2024-01-01 10:00,27.792
2024-01-01 15:00,2024-01-01 11:00,29.449
2024-01-01 16:00,2024-01-01 12:00,30.616
2024-01-01 17:00,2024-01-01 13:00,31.325
2024-01-01 18:00,2024-01-01 14:00,31.589
2024-01-01 19:00,2024-01-01 15:00,31.464
2024-01-01 20:00,2024-01-01 16:00,30.891
2024-01-01 21:00,2024-01-01 17:00,29.942
2024-01-01 22:00,2024-01-01 18:00,28.560
2024-01-01 23:00,2024-01-01 19:00,27.320
2024-01-02 00:00,2024-01-01 20:00,26.698
2024-01-02 01:00,2024-01-01 21:00,26.254
2024-01-02 02:00,2024-01-01 22:00,25.907
2024-01-02 03:00,2024-01-01 23:00,25.621
2024-01-02 04:00,2024-01-02 00:00,25.335
2024-01-02 05:00,2024-01-02 01:00,25.036
2024-01-02 06:00,2024-01-02 02:00,24.705
2024-01-02 07:00,2024-01-02 03:00,24.426
2024-01-02 08:00,2024-01-02 04:00,24.148
2024-01-02 09:00,2024-01-02 05:00,23.891
2024-01-02 10:00,2024-01-02 06:00,24.010
2024-01-02 11:00,2024-01-02 07:00,25.145
2024-01-02 12:00,2024-01-02 08:00,26.388
2024-01-02 13:00,2024-01-02 09:00,28.334
2024-01-02 14:00,2024-01-02 10:00,30.566
2024-01-02 15:00,2024-01-02 11:00,32.100
2024-01-02 16:00,2024-01-02 12:00,33.036
2024-01-02 17:00,2024-01-02 13:00,33.519
2024-01-02 18:00,2024-01-02 14:00,33.471
2024-01-02 19:00,2024-01-02 15:00,33.123
2024-01-02 20:00,2024-01-02 16:00,32.406
2024-01-02 21:00,2024-01-02 17:00,31.395
2024-01-02 22:00,2024-01-02 18:00,29.723
2024-01-02 23:00,2024-01-02 19:00,27.982
2024-01-03 00:00,2024-01-02 20:00,27.088
2024-01-03 01:00,2024-01-02 21:00,26.465
2024-01-03 02:00,2024-01-02 22:00,25.902
2024-01-03 03:00,2024-01-02 23:00,25.444
