# Renewables.ninja Weather (Point API) - -11.955, -67.401 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Caracas, t2m in ºC
# {"units": {"time": "UTC", "local_time": "America/Caracas", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "-11.9545532", "lon": "-67.4012907", "date_from": "2024-01-01", "date_to": "2024-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2024-01-01 00:00,2023-12-31 20:00,27.073
2024-01-01 01:00,2023-12-31 21:00,26.944
2024-01-01 02:00,2023-12-31 22:00,26.624
2024-01-01 03:00,2023-12-31 23:00,26.097
2024-01-01 04:00,2024-01-01 00:00,25.688
2024-01-01 05:00,2024-01-01 01:00,25.490
2024-01-01 06:00,2024-01-01 02:00,25.306
2024-01-01 07:00,2024-01-01 03:00,25.114
2024-01-01 08:00,2024-01-01 04:00,24.928
2024-01-01 09:00,2024-01-01 05:00,24.734
2024-01-01 10:00,2024-01-01 06:00,24.627
2024-01-01 11:00,2024-01-01 07:00,24.935
2024-01-01 12:00,2024-01-01 08:00,25.519
2024-01-01 13:00,2024-01-01 09:00,26.238
2024-01-01 14:00,2024-01-01 10:00,27.022
2024-01-01 15:00,2024-01-01 11:00,28.312
2024-01-01 16:00,2024-01-01 12:00,29.340
2024-01-01 17:00,2024-01-01 13:00,29.726
2024-01-01 18:00,2024-01-01 14:00,29.777
2024-01-01 19:00,2024-01-01 15:00,29.518
2024-01-01 20:00,2024-01-01 16:00,29.132
2024-01-01 21:00,2024-01-01 17:00,28.635
2024-01-01 22:00,2024-01-01 18:00,27.883
2024-01-01 23:00,2024-01-01 19:00,26.950
2024-01-02 00:00,2024-01-01 20:00,26.413
2024-01-02 01:00,2024-01-01 21:00,26.233
2024-01-02 02:00,2024-01-01 22:00,26.092
2024-01-02 03:00,2024-01-01 23:00,25.857
2024-01-02 04:00,2024-01-02 00:00,25.470
2024-01-02 05:00,2024-01-02 01:00,25.110
2024-01-02 06:00,2024-01-02 02:00,24.815
2024-01-02 07:00,2024-01-02 03:00,24.562
2024-01-02 08:00,2024-01-02 04:00,24.381
2024-01-02 09:00,2024-01-02 05:00,24.237
2024-01-02 10:00,2024-01-02 06:00,24.312
2024-01-02 11:00,2024-01-02 07:00,25.294
2024-01-02 12:00,2024-01-02 08:00,26.924
2024-01-02 13:00,2024-01-02 09:00,28.677
2024-01-02 14:00,2024-01-02 10:00,30.039
2024-01-02 15:00,2024-01-02 11:00,31.073
2024-01-02 16:00,2024-01-02 12:00,31.740
2024-01-02 17:00,2024-01-02 13:00,32.071
2024-01-02 18:00,2024-01-02 14:00,32.119
2024-01-02 19:00,2024-01-02 15:00,31.849
2024-01-02 20:00,2024-01-02 16:00,31.335
2024-01-02 21:00,2024-01-02 17:00,30.534
2024-01-02 22:00,2024-01-02 18:00,29.560
2024-01-02 23:00,2024-01-02 19:00,28.558
2024-01-03 00:00,2024-01-02 20:00,27.765
2024-01-03 01:00,2024-01-02 21:00,26.905
2024-01-03 02:00,2024-01-02 22:00,26.393
2024-01-03 03:00,2024-01-02 23:00,26.102
2024-01-03 04:00,2024-01-03 00:00,25.848
2024-01-03 05:00,2024-01-03 01:00,25.632
2024-01-03 06:00,2024-01-03 02:00,25.465
2024-01-03 07:00,2024-01-03 03:00,25.077
2024-01-03 08:00,2024-01-03 04:00,24.736
2024-01-03 09:00,2024-01-03 05:00,24.553
2024-01-03 10:00,2024-01-03 06:00,24.613
2024-01-03 11:00,2024-01-03 07:00,25.389
2024-01-03 12:00,2024-01-03 08:00,26.501
2024-01-03 13:00,2024-01-03 09:00,27.446
2024-01-03 14:00,2024-01-03 10:00,28.249
2024-01-03 15:00,2024-01-03 11:00,28.831
2024-01-03 16:00,2024-01-03 12:00,29.313
2024-01-03 17:00,2024-01-03 13:00,29.569
2024-01-03 18:00,2024-01-03 14:00,29.491
2024-01-03 19:00,2024-01-03 15:00,29.238
2024-01-03 20:00,2024-01-03 16:00,28.858
2024-01-03 21:00,2024-01-03 17:00,28.235
2024-01-03 22:00,2024-01-03 18:00,27.396
2024-01-03 23:00,2024-01-03 19:00,26.521
2024-01-04 00:00,2024-01-03 20:00,26.023
2024-01-04 01:00,2024-01-03 21:00,25.808
2024-01-04 02:00,2024-01-03 22:00,25.672
2024-01-04 03:00,2024-01-03 23:00,25.525
2024-01-04 04:00,2024-01-04 00:00,25.377
